u,v,key,osmid,highway,name,ref,oneway,reversed,length,geometry,maxspeed,lanes,width,bridge,service,tunnel,access
366177584,366177587,0,32556818,track,,,False,False,33.57202905451675,"LINESTRING (25.5968589 47.5962185, 25.596709 47.5962192, 25.5964113 47.5962136)",,,,,,,
366177587,366177584,0,32556818,track,,,False,True,33.57202905451675,"LINESTRING (25.5964113 47.5962136, 25.596709 47.5962192, 25.5968589 47.5962185)",,,,,,,
367976075,367976088,0,360932593,path,,,False,False,13.139849973917888,"LINESTRING (14.8694559 47.5962339, 14.8692861 47.5962047)",,,,,,,
367976088,367976075,0,360932593,path,,,False,True,13.139849973917888,"LINESTRING (14.8692861 47.5962047, 14.8694559 47.5962339)",,,,,,,
369822633,1151639239,0,32354599,unclassified,Höhenreute,,False,False,14.82012487724246,"LINESTRING (9.7155128 47.5962271, 9.7157102 47.5962337)",,,,,,,
373928294,373928527,0,33121187,path,,,False,False,8.751989740930831,"LINESTRING (9.5755393 47.5962464, 9.5755725 47.5962513, 9.5755995 47.5962439, 9.5756287 47.5962136)",,,,,,,
373928527,373928294,0,33121187,path,,,False,True,8.751989740930831,"LINESTRING (9.5756287 47.5962136, 9.5755995 47.5962439, 9.5755725 47.5962513, 9.5755393 47.5962464)",,,,,,,
432492879,432492880,0,84998512,path,,,False,False,11.585108175237853,"LINESTRING (13.4549816 47.596226, 13.4548271 47.596226)",,,,,,,
432492880,432492879,0,84998512,path,,,False,True,11.585108175237853,"LINESTRING (13.4548271 47.596226, 13.4549816 47.596226)",,,,,,,
440898830,1628702120,0,37613884,path,,,False,True,14.037458181015452,"LINESTRING (11.9568906 47.5962274, 11.9570778 47.5962283)",,,,,,,
441705231,1885039186,0,178128870,unclassified,,,False,False,8.37998614992676,"LINESTRING (-2.5490127 47.5962167, -2.5489012 47.5962116)",,,,,,,
442701166,442705261,0,248699020,path,,,False,False,15.281847236504154,"LINESTRING (11.6196895 47.5962182, 11.6194857 47.5962182)",,,,,,,
442705261,442701166,0,248699020,path,,,False,True,15.281847236504154,"LINESTRING (11.6194857 47.5962182, 11.6196895 47.5962182)",,,,,,,
446040592,10936845690,0,37975441,residential,Loogasse,,False,True,59.5997732716076,"LINESTRING (8.7865222 47.5962374, 8.7866554 47.5962545, 8.7869592 47.5962684, 8.7871367 47.5962548, 8.7873091 47.5962306)",30,,,,,,
456360099,1275640039,0,38550277,path,,,False,True,27.45579029122358,"LINESTRING (9.9274019 47.5962113, 9.9275807 47.5962344, 9.9277646 47.5962402)",,,,,,,
490727620,490727624,0,40490685,residential,Sport utca,,False,False,7.7738375153621675,"LINESTRING (18.936847 47.5962325, 18.9367526 47.5962036)",30,,,,,,
490727624,490727620,0,40490685,residential,Sport utca,,False,True,7.7738375153621675,"LINESTRING (18.9367526 47.5962036, 18.936847 47.5962325)",30,,,,,,
510804081,510804086,0,768983901,tertiary,,17,False,True,64.42349374482609,"LINESTRING (-71.0599337 47.5962264, -71.0592697 47.5962564, -71.0590822 47.5962237)",,2,,,,,
510804086,510804081,0,768983901,tertiary,,17,False,False,64.42349374482609,"LINESTRING (-71.0590822 47.5962237, -71.0592697 47.5962564, -71.0599337 47.5962264)",,2,,,,,
573389419,573389431,0,45181671,track,,,False,False,36.495397207336076,"LINESTRING (11.3872052 47.5962294, 11.3876919 47.5962278)",,,,,,,
573389419,573389420,0,45181671,track,,,False,True,60.82132375946125,"LINESTRING (11.3872052 47.5962294, 11.3869985 47.5962264, 11.3867816 47.5962556, 11.3865874 47.5962645, 11.3863998 47.5962518)",,,,,,,
573389420,573389419,0,45181671,track,,,False,False,60.82132375946125,"LINESTRING (11.3863998 47.5962518, 11.3865874 47.5962645, 11.3867816 47.5962556, 11.3869985 47.5962264, 11.3872052 47.5962294)",,,,,,,
573389431,573389419,0,45181671,track,,,False,True,36.495397207336076,"LINESTRING (11.3876919 47.5962278, 11.3872052 47.5962294)",,,,,,,
574840863,574840868,0,45265992,track,Lichsenhaldenweg,,False,False,18.047134075322283,"LINESTRING (7.6917302 47.5962319, 7.6918553 47.5962475, 7.6919676 47.5962366)",,,3,,,,
574840868,574840863,0,45265992,track,Lichsenhaldenweg,,False,True,18.047134075322283,"LINESTRING (7.6919676 47.5962366, 7.6918553 47.5962475, 7.6917302 47.5962319)",,,3,,,,
587913379,4902792679,0,498942792,path,,,False,False,31.308907535082028,"LINESTRING (11.8468733 47.5962291, 11.8466129 47.5962551, 11.8464597 47.5962427)",,,0.3,,,,
