u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,access
53129311,11076454417,0,347092914,2,South Main Street,residential,20 mph,False,False,10.019,"LINESTRING (-122.317215 47.6000346, -122.3170814 47.600033)",,,
53129311,11076454418,0,739874553,5,12th Avenue South,secondary,25 mph,False,False,7.284,"LINESTRING (-122.317215 47.6000346, -122.3172165 47.5999691)",,,
53129311,11076454419,0,622519661,3,12th Avenue South,secondary,25 mph,False,False,8.593,"LINESTRING (-122.317215 47.6000346, -122.3171708 47.6000786, -122.3171688 47.6001027)",,,
53129311,11076454420,0,1068095613,2,12th Avenue South,secondary,25 mph,False,True,9.481,"LINESTRING (-122.317215 47.6000346, -122.3172543 47.6000816, -122.3172548 47.6001129)",,,
53129313,298271144,0,332223488,4,Boren Avenue South,secondary,25 mph,False,False,23.585,"LINESTRING (-122.3159292 47.6000164, -122.3156844 47.5998832)",,,
53129313,11064270281,0,332223487,4,Boren Avenue South,secondary,25 mph,False,True,107.507,"LINESTRING (-122.3159292 47.6000164, -122.3161869 47.6001778, -122.3163459 47.6002927, -122.3165055 47.6004188, -122.3168491 47.6007531)",,,
53129313,11076454428,0,870667696,2,South Main Street,residential,20 mph,False,True,12.441,"LINESTRING (-122.3159292 47.6000164, -122.316059 47.5999819, -122.3160854 47.5999824)",,,
53129313,11076454427,0,893872038,2,South Main Street,residential,20 mph,False,True,14.274000000000001,"LINESTRING (-122.3159292 47.6000164, -122.3158135 47.6000468, -122.3157473 47.6000472)",,,
53129315,11077810357,0,6405076,1,14th Avenue South,tertiary,25 mph,False,True,8.825,"LINESTRING (-122.3141289 47.6000201, -122.3141529 47.5999424)",,,
53129315,11077810353,0,347092915,2,South Main Street,residential,20 mph,False,False,8.06,"LINESTRING (-122.3141289 47.6000201, -122.3140214 47.6000198)",,,
53129315,11077810352,0,6384250,2,South Main Street,residential,20 mph,False,True,12.719,"LINESTRING (-122.3141289 47.6000201, -122.314155 47.6000205, -122.314215 47.6000215, -122.3142985 47.6000225)",,,
53129315,11077810354,0,6405076,1,14th Avenue South,tertiary,25 mph,False,False,7.684000000000001,"LINESTRING (-122.3141289 47.6000201, -122.3141202 47.6000589, -122.3141172 47.6000887)",,,
53129316,11077810386,0,6506833,2,16th Avenue South,residential,20 mph,False,False,8.707,"LINESTRING (-122.3115779 47.60002, -122.3115791 47.5999417)",,,
53129316,11077810387,0,6506833,2,16th Avenue South,residential,20 mph,False,True,4.626,"LINESTRING (-122.3115779 47.60002, -122.3115779 47.6000616)",,,
53129316,11077810384,0,347092915,2,South Main Street,residential,20 mph,False,False,7.289,"LINESTRING (-122.3115779 47.60002, -122.3114807 47.6000189)",,,
53129316,11077810385,0,347092915,2,South Main Street,residential,20 mph,False,True,7.205,"LINESTRING (-122.3115779 47.60002, -122.311674 47.6000199)",,,
