u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,access
5440514326,5440514323,0,347092914,2,South Main Street,residential,20 mph,False,False,20.937,"LINESTRING (-122.3164948 47.6000264, -122.3162224 47.599985)",,,
5440514326,5440428920,0,347092914,2,South Main Street,residential,20 mph,False,True,29.988,"LINESTRING (-122.3164948 47.6000264, -122.3168947 47.600031)",,,
5440514326,11076454449,0,564754777,,,service,,False,False,9.151,"LINESTRING (-122.3164948 47.6000264, -122.3164948 47.5999441)",,,
5440514340,11061356810,0,256996971,2,East Yesler Way,tertiary,25 mph,False,False,49.163,"LINESTRING (-122.3136417 47.6016938, -122.312986 47.6016915)",,,
5440514340,11061356826,0,564754794,,,service,,False,True,8.708,"LINESTRING (-122.3136417 47.6016938, -122.3136397 47.6016155)",,,
5440514340,5440514346,0,256996971,2,East Yesler Way,tertiary,25 mph,False,True,14.021,"LINESTRING (-122.3136417 47.6016938, -122.3136994 47.601694, -122.3138287 47.6016944)",,,
5440514346,11061356827,0,564754795,,,service,,False,False,8.741,"LINESTRING (-122.3138287 47.6016944, -122.3138268 47.6016158)",,,
5440514346,5440514340,0,256996971,2,East Yesler Way,tertiary,25 mph,False,False,14.021,"LINESTRING (-122.3138287 47.6016944, -122.3136994 47.601694, -122.3136417 47.6016938)",,,
5440514346,11061352597,0,256996971,2,East Yesler Way,tertiary,25 mph,False,True,14.867999999999999,"LINESTRING (-122.3138287 47.6016944, -122.3139497 47.6016948, -122.314027 47.6016951)",,,
5440514359,53130027,0,6506833,2,16th Avenue South,residential,20 mph,False,False,10.741,"LINESTRING (-122.311584 47.5989068, -122.311584 47.5988102)",,,
5440514359,11082266247,0,564754818,,,service,,False,False,7.108,"LINESTRING (-122.311584 47.5989068, -122.3114892 47.5989067)",,,
5440514359,11078065683,0,6506833,2,16th Avenue South,residential,20 mph,False,True,26.765,"LINESTRING (-122.311584 47.5989068, -122.311583 47.5991251, -122.311583 47.5991475)",,,
5440514360,11078002709,0,"[564754820, 564754822]",,,service,,False,True,29.189,"LINESTRING (-122.3118655 47.5988873, -122.3118647 47.5991071, -122.311864 47.5991498)",,parking_aisle,
5440514362,53089013,0,332223494,2,South Jackson Street,secondary,25 mph,False,False,21.018,"LINESTRING (-122.311864 47.5992269, -122.3115837 47.5992288)",,,
5440514362,11078002709,0,564754822,,,service,,False,False,8.573,"LINESTRING (-122.311864 47.5992269, -122.311864 47.5991498)",,,
5440514362,5440514379,0,332223494,2,South Jackson Street,secondary,25 mph,False,True,135.378,"LINESTRING (-122.311864 47.5992269, -122.3122275 47.5992245, -122.3136693 47.5992088)",,,
5440514366,5440514367,0,564754828,,,service,,False,True,31.558,"LINESTRING (-122.3129207 47.5990998, -122.3129178 47.598816)",,parking_aisle,
5440514367,5440514366,0,564754828,,,service,,False,False,31.558,"LINESTRING (-122.3129178 47.598816, -122.3129207 47.5990998)",,parking_aisle,
5440514367,11082266248,0,49394452,2,South Jackson Place,residential,20 mph,False,False,91.314,"LINESTRING (-122.3129178 47.598816, -122.312228 47.5988134, -122.3117 47.5988108)",,,
5440514367,11077999096,0,49394452,2,South Jackson Place,residential,20 mph,False,True,52.815,"LINESTRING (-122.3129178 47.598816, -122.3135164 47.5988146, -122.3136181 47.598795)",,,
5440514368,5440514373,0,"[564754832, 564754829]",,,service,,False,True,58.82699999999999,"LINESTRING (-122.3132265 47.5993341, -122.3132278 47.5995043, -122.3133684 47.5995038, -122.3133689 47.5995724, -122.3131378 47.5995732, -122.3131381 47.5996128)",,parking_aisle,
5440514373,5440514375,0,25807751,,,service,,False,True,12.477,"LINESTRING (-122.3131381 47.5996128, -122.3129717 47.5996126)",,,
5440514373,11077818738,0,"[25807920, 25807751]",,,service,,False,"[False, True]",65.682,"LINESTRING (-122.3131381 47.5996128, -122.313533 47.5996133, -122.3135331 47.5999259, -122.313533 47.5999377)",,,
5440514373,5440514368,0,"[564754832, 564754829]",,,service,,False,False,58.827,"LINESTRING (-122.3131381 47.5996128, -122.3131378 47.5995732, -122.3133689 47.5995724, -122.3133684 47.5995038, -122.3132278 47.5995043, -122.3132265 47.5993341)",,parking_aisle,
5440514374,5440514375,0,564754834,,,service,,False,True,30.769,"LINESTRING (-122.3129757 47.5993359, -122.3129717 47.5996126)",,parking_aisle,
5440514375,5440514373,0,25807751,,,service,,False,False,12.477,"LINESTRING (-122.3129717 47.5996126, -122.3131381 47.5996128)",,,
5440514375,11077818735,0,25807751,,,service,,False,True,94.864,"LINESTRING (-122.3129717 47.5996126, -122.3117065 47.5996109)",,,
5440514375,5440514374,0,564754834,,,service,,False,False,30.769,"LINESTRING (-122.3129717 47.5996126, -122.3129757 47.5993359)",,parking_aisle,
5440514377,11078002708,0,"[564754836, 564754837]",,,service,,False,True,27.695,"LINESTRING (-122.3139189 47.5993812, -122.3136725 47.5993807, -122.3136719 47.5993166, -122.3136707 47.5992978)",,parking_aisle,
5440514379,3535107360,0,332223494,2,South Jackson Street,secondary,25 mph,False,True,16.827,"LINESTRING (-122.3136693 47.5992088, -122.3138937 47.5992072)",,,
5440514379,11078002708,0,564754836,,,service,,False,False,9.897,"LINESTRING (-122.3136693 47.5992088, -122.3136707 47.5992978)",,,
5440514379,5440514362,0,332223494,2,South Jackson Street,secondary,25 mph,False,False,135.378,"LINESTRING (-122.3136693 47.5992088, -122.3122275 47.5992245, -122.311864 47.5992269)",,,
5440514380,5440514387,0,428233433,4,Boren Avenue South,secondary,25 mph,False,True,24.631,"LINESTRING (-122.3149015 47.5995585, -122.3151924 47.5996614)",,,
5440514380,11076454444,0,564754840,,,service,,False,True,9.85,"LINESTRING (-122.3149015 47.5995585, -122.3149632 47.5994803)",,,
5440514380,7327759086,0,"[428233433, 347092907]","['5', '4']",Boren Avenue South,secondary,25 mph,False,False,15.342,"LINESTRING (-122.3149015 47.5995585, -122.3147595 47.599508, -122.3147207 47.5994939)",,,
5440514382,11076454445,0,27183454,,,service,,False,False,15.114,"LINESTRING (-122.3152416 47.5994453, -122.3152377 47.5995812)",,,
5440514382,11078002725,0,27183454,,,service,,False,True,15.048,"LINESTRING (-122.3152416 47.5994453, -122.3152886 47.599374, -122.3152874 47.5993167)",,,
5440514382,11076454444,0,"[564754840, 564754842]",,,service,,False,False,23.254,"LINESTRING (-122.3152416 47.5994453, -122.3149915 47.5994446, -122.3149632 47.5994803)",,parking_aisle,
5440514384,11076454450,0,"[564754846, 564754847]",,,service,,False,True,29.67,"LINESTRING (-122.3153628 47.5999107, -122.3151943 47.5999113, -122.3151934 47.5997934, -122.3151927 47.5997581)",,parking_aisle,
5440514387,5440514380,0,428233433,4,Boren Avenue South,secondary,25 mph,False,False,24.631,"LINESTRING (-122.3151924 47.5996614, -122.3149015 47.5995585)",,,
5440514387,298271289,0,428233433,4,Boren Avenue South,secondary,25 mph,False,True,3.672,"LINESTRING (-122.3151924 47.5996614, -122.3152354 47.5996772)",,,
5440514387,11076454450,0,564754846,,,service,,False,False,10.753,"LINESTRING (-122.3151924 47.5996614, -122.3151927 47.5997581)",,,
5440514395,53145414,0,1154579274,2,East Yesler Way,tertiary,25 mph,False,False,55.46,"LINESTRING (-122.3156759 47.6016779, -122.3149362 47.6016793)",,,
5440514395,5440514405,0,1154579274,2,East Yesler Way,tertiary,25 mph,False,True,31.573,"LINESTRING (-122.3156759 47.6016779, -122.316097 47.6016784)",,,
5440514405,5440514395,0,1154579274,2,East Yesler Way,tertiary,25 mph,False,False,31.573,"LINESTRING (-122.316097 47.6016784, -122.3156759 47.6016779)",,,
5440514405,281493433,0,347092909,2,East Yesler Way,tertiary,25 mph,False,True,21.144,"LINESTRING (-122.316097 47.6016784, -122.3162539 47.6016786, -122.316379 47.6016787)",,,
5440514406,11080212181,0,564754870,,,service,,False,True,1.159,"LINESTRING (-122.3148599 47.5984271, -122.3148589 47.5984167)",,,
5440514408,11080212181,0,564754870,,,service,,False,False,9.541,"LINESTRING (-122.3148586 47.5983309, -122.3148589 47.5984167)",,,
5440514408,5440514411,0,969976887,2,South King Street,residential,20 mph,False,True,15.821,"LINESTRING (-122.3148586 47.5983309, -122.3150696 47.5983318)",,,
5440514408,6611190721,0,969976887,2,South King Street,residential,20 mph,False,False,26.761,"LINESTRING (-122.3148586 47.5983309, -122.314599 47.5983301, -122.3145017 47.5983298)",,,
5440514409,11080212182,0,"[564754872, 564754874]",,,service,,False,True,33.183,"LINESTRING (-122.3153696 47.5985157, -122.3150724 47.598515, -122.3150704 47.598417)",,parking_aisle,
5440514411,11080212182,0,564754874,,,service,,False,False,9.474,"LINESTRING (-122.3150696 47.5983318, -122.3150704 47.598417)",,,
5440514411,5440514408,0,969976887,2,South King Street,residential,20 mph,False,False,15.821,"LINESTRING (-122.3150696 47.5983318, -122.3148586 47.5983309)",,,
5440514411,6593921450,0,969976887,2,South King Street,residential,20 mph,False,True,21.573,"LINESTRING (-122.3150696 47.5983318, -122.3153573 47.5983331)",,,
5440514412,11080212174,0,"[564754876, 564754878]",,,service,,False,True,30.323,"LINESTRING (-122.3163319 47.5986914, -122.3163316 47.5984526, -122.3163307 47.5984187)",,parking_aisle,
5440514414,11080212174,0,564754878,,,service,,False,False,8.951,"LINESTRING (-122.3163308 47.5983382, -122.3163307 47.5984187)",,,
5440514414,5440514417,0,969976887,2,South King Street,residential,20 mph,False,False,12.567,"LINESTRING (-122.3163308 47.5983382, -122.3161632 47.5983372)",,,
5440514414,3778984589,0,969976887,2,South King Street,residential,20 mph,False,True,35.864,"LINESTRING (-122.3163308 47.5983382, -122.3168091 47.5983399)",,,
5440514416,11080212175,0,"[564754880, 564754882]",,,service,,False,True,29.871000000000002,"LINESTRING (-122.3161709 47.5986871, -122.3161655 47.5984518, -122.3161644 47.5984185)",,parking_aisle,
5440514417,11080212175,0,564754882,,,service,,False,False,9.041,"LINESTRING (-122.3161632 47.5983372, -122.3161644 47.5984185)",,,
5440514417,5440514423,0,969976887,2,South King Street,residential,20 mph,False,False,10.872,"LINESTRING (-122.3161632 47.5983372, -122.3160182 47.5983367)",,,
5440514417,5440514414,0,969976887,2,South King Street,residential,20 mph,False,True,12.567,"LINESTRING (-122.3161632 47.5983372, -122.3163308 47.5983382)",,,
5440514418,11080212185,0,564754884,,,service,,False,True,7.873,"LINESTRING (-122.3157943 47.5983352, -122.3157932 47.5982644)",,,
5440514418,6591865510,0,969976887,2,South King Street,residential,20 mph,False,True,3.704,"LINESTRING (-122.3157943 47.5983352, -122.3158437 47.5983356)",,,
5440514418,6593921447,0,969976887,2,South King Street,residential,20 mph,False,False,14.952,"LINESTRING (-122.3157943 47.5983352, -122.315706 47.5983348, -122.3155949 47.5983343)",,,
5440514420,11080212185,0,"[564754884, 564754887]",,,service,,False,False,27.199,"LINESTRING (-122.3157899 47.5980198, -122.3157931 47.5982498, -122.3157932 47.5982644)",,parking_aisle,
5440514420,11080212186,0,"[564754885, 564754887]",,,service,,False,True,44.208,"LINESTRING (-122.3157899 47.5980198, -122.3160139 47.5980184, -122.3160171 47.5982525, -122.3160171 47.5982649)",,parking_aisle,
5440514420,11083342541,0,702539891,,,service,,False,False,51.005,"LINESTRING (-122.3157899 47.5980198, -122.3157365 47.5979384, -122.3157352 47.5978288, -122.3158437 47.5976135, -122.3158439 47.5975808)",,driveway,
5440514423,11080212186,0,564754885,,,service,,False,False,7.984,"LINESTRING (-122.3160182 47.5983367, -122.3160171 47.5982649)",,,
5440514423,5440514417,0,969976887,2,South King Street,residential,20 mph,False,True,10.872,"LINESTRING (-122.3160182 47.5983367, -122.3161632 47.5983372)",,,
5440514423,6591865510,0,969976887,2,South King Street,residential,20 mph,False,False,13.085,"LINESTRING (-122.3160182 47.5983367, -122.3159924 47.5983367, -122.3158437 47.5983356)",,,
5440514424,11083342537,0,"[564754889, 564754891]",,,service,,False,True,32.24,"LINESTRING (-122.3144375 47.5977334, -122.3142685 47.5976746, -122.3142672 47.5976231, -122.3141719 47.5976231, -122.3141706 47.5975849, -122.3141697 47.5975772)",,parking_aisle,
5440514428,4978169368,0,263712957,2,South Weller Street,residential,20 mph,False,False,55.465,"LINESTRING (-122.3141679 47.5975025, -122.3134282 47.5975032)",,,
5440514428,4978169381,0,263712957,2,South Weller Street,residential,20 mph,False,True,25.059,"LINESTRING (-122.3141679 47.5975025, -122.3145021 47.5975022)",,,
5440514428,11083342537,0,564754889,,,service,,False,False,8.307,"LINESTRING (-122.3141679 47.5975025, -122.3141697 47.5975772)",,,
5440514429,11083342538,0,"[564754893, 564754895]",,,service,,False,True,31.777,"LINESTRING (-122.3146004 47.5978638, -122.3145921 47.597615, -122.3145904 47.5975781)",,parking_aisle,
5440514431,4978169381,0,263712957,2,South Weller Street,residential,20 mph,False,False,6.404,"LINESTRING (-122.3145875 47.5975021, -122.3145021 47.5975022)",,,
5440514431,6597159982,0,263712957,2,South Weller Street,residential,20 mph,False,True,23.372,"LINESTRING (-122.3145875 47.5975021, -122.3148992 47.5975018)",,,
5440514431,11083342538,0,564754895,,,service,,False,False,8.454,"LINESTRING (-122.3145875 47.5975021, -122.3145904 47.5975781)",,,
5769011371,11060891509,0,609027156,,,footway,,False,False,72.18,"LINESTRING (-122.3223173 47.6015757, -122.3213546 47.6015744)",,,
5769011371,6328001218,0,675720760,,,footway,,False,False,14.221999999999998,"LINESTRING (-122.3223173 47.6015757, -122.3223171 47.6015515, -122.3223127 47.6015396, -122.3222961 47.601525, -122.3222691 47.6015116, -122.3222021 47.6014892)",,,
5769011371,11060891515,0,"[675720760, 609028078, 1191333903]",,,footway,,False,True,13.620999999999999,"LINESTRING (-122.3223173 47.6015757, -122.3223173 47.6015939, -122.3223173 47.6016049, -122.3223172 47.6016161, -122.3223168 47.6016982)",,,
5769031637,7083247595,0,609029059,,,footway,,False,True,23.371,"LINESTRING (-122.3196965 47.6015951, -122.3200082 47.6015966)",,,
5769031637,11060891575,0,"[1191333907, 609029059, 609029054]",,,footway,,False,False,8.744,"LINESTRING (-122.3196965 47.6015951, -122.3196533 47.6015971, -122.3196182 47.6015969, -122.31958 47.6015964)",,,
5769031637,11060891570,0,"[609029057, 609029058, 609030085]",,,footway,,False,"[False, True]",10.524000000000001,"LINESTRING (-122.3196965 47.6015951, -122.319678 47.6016261, -122.3196779 47.6016457, -122.3196776 47.6016529, -122.3196768 47.6016694, -122.3196759 47.6016873)",,,
5769031637,11064270285,0,609030085,,,footway,,False,True,51.54600000000001,"LINESTRING (-122.3196965 47.6015951, -122.3196963 47.6014215, -122.3196124 47.6011371)",,,
5769037123,11060891630,0,1191365927,,,footway,,False,True,10.835,"LINESTRING (-122.3175602 47.6016186, -122.3174157 47.6016178)",,,
5769037123,11060891620,0,"[609030081, 548288807]",,,footway,,False,True,11.562,"LINESTRING (-122.3175602 47.6016186, -122.3175712 47.6016308, -122.317634 47.6016804, -122.3176576 47.601699)",,,
5769037123,3669125138,0,1191365927,,,footway,,False,False,2.264,"LINESTRING (-122.3175602 47.6016186, -122.3175702 47.6016125, -122.3175738 47.6016015)",,,
5769037131,11060891605,0,609030086,,,footway,,False,True,12.69,"LINESTRING (-122.3179073 47.6015991, -122.3179326 47.6015881, -122.3179842 47.6015744, -122.3180437 47.6015678, -122.3180671 47.6015679)",,,
5769037131,11060891618,0,"[609030088, 384175441]",,,footway,,False,True,12.838000000000001,"LINESTRING (-122.3179073 47.6015991, -122.3178799 47.6016111, -122.3177415 47.6016067)",,,
5769037131,11060891612,0,858625734,,,footway,,False,False,73.968,"LINESTRING (-122.3179073 47.6015991, -122.3178621 47.6015687, -122.317355 47.6010771, -122.3173476 47.6010543)",,,
5769037131,11060891604,0,858625734,,,footway,,False,True,7.568,"LINESTRING (-122.3179073 47.6015991, -122.317929 47.6016186, -122.3179396 47.6016219, -122.3179927 47.6016223)",,,
6328001024,7083247594,0,675720741,,,footway,,False,True,20.971,"LINESTRING (-122.3204467 47.6015978, -122.320167 47.6015972)",,,
6328001024,11060891533,0,609029066,,,footway,,False,True,4.104,"LINESTRING (-122.3204467 47.6015978, -122.3204472 47.6016202, -122.3204476 47.6016347)",,,
6328001024,6328001212,0,675720741,,,footway,,False,False,32.98,"LINESTRING (-122.3204467 47.6015978, -122.3204461 47.6015726, -122.3205783 47.601573, -122.3208486 47.6015738)",,,
6328001026,6328001070,0,675720750,,,footway,,False,False,12.387,"LINESTRING (-122.321818 47.6014622, -122.3218769 47.6014651, -122.321983 47.6014628)",,,
6328001026,6328001037,0,675720750,,,footway,,False,True,81.05099999999999,"LINESTRING (-122.321818 47.6014622, -122.321739 47.6014545, -122.3216682 47.601438, -122.3215893 47.6014102, -122.3215139 47.6013726, -122.3214457 47.6013226, -122.3214077 47.6012755, -122.3213728 47.6012439, -122.3213025 47.6011962, -122.3212239 47.6011593, -122.3211302 47.6011334, -122.3210987 47.6011275, -122.3209234 47.6011264)",,,
6328001026,6328001187,0,675720753,,,footway,,False,True,48.096999999999994,"LINESTRING (-122.321818 47.6014622, -122.3217026 47.6014068, -122.3216496 47.6013767, -122.3215776 47.6013156, -122.3215185 47.601248, -122.3214691 47.6011651, -122.3214475 47.6011231)",,,
6328001037,298272510,0,675720750,,,footway,,False,True,22.921,"LINESTRING (-122.3209234 47.6011264, -122.3206177 47.6011259)",,,
6328001037,5296969672,0,675720743,,,footway,,False,True,77.46300000000001,"LINESTRING (-122.3209234 47.6011264, -122.3209933 47.6011384, -122.3210491 47.6011565, -122.3210995 47.6011785, -122.321137 47.6011995, -122.3211696 47.6012203, -122.3212112 47.6012566, -122.3212381 47.6012868, -122.3212552 47.6013133, -122.3212656 47.6013375, -122.3212704 47.6013608, -122.3212666 47.60139, -122.3212565 47.6014184, -122.3212368 47.6014471, -122.3212146 47.6014701, -122.3211825 47.6014895, -122.3211448 47.601504, -122.3209978 47.6015412, -122.3209346 47.6015572, -122.3209351 47.6015738)",,,
6328001037,6328001026,0,675720750,,,footway,,False,False,81.051,"LINESTRING (-122.3209234 47.6011264, -122.3210987 47.6011275, -122.3211302 47.6011334, -122.3212239 47.6011593, -122.3213025 47.6011962, -122.3213728 47.6012439, -122.3214077 47.6012755, -122.3214457 47.6013226, -122.3215139 47.6013726, -122.3215893 47.6014102, -122.3216682 47.601438, -122.321739 47.6014545, -122.321818 47.6014622)",,,
6328001059,6328001187,0,675720747,,,footway,,False,False,14.978000000000002,"LINESTRING (-122.3213264 47.6010162, -122.3213933 47.6010695, -122.3214475 47.6011231)",,,
6328001059,8009040786,0,675720760,,,footway,,False,False,61.21300000000001,"LINESTRING (-122.3213264 47.6010162, -122.3212651 47.600989, -122.3212228 47.6009668, -122.3211832 47.600952, -122.3211401 47.6009421, -122.3210836 47.6009374, -122.3205419 47.600937)",,,
6328001059,6328001078,0,675720760,,,footway,,False,True,11.818,"LINESTRING (-122.3213264 47.6010162, -122.3213747 47.6010216, -122.3214076 47.6010197, -122.3214397 47.6010132, -122.3214773 47.6010004)",,,
6328001070,6328001218,0,675720750,,,footway,,False,False,16.719,"LINESTRING (-122.321983 47.6014628, -122.3220551 47.6014675, -122.3221268 47.6014764, -122.3222021 47.6014892)",,,
6328001070,6328001026,0,675720750,,,footway,,False,True,12.387,"LINESTRING (-122.321983 47.6014628, -122.3218769 47.6014651, -122.321818 47.6014622)",,,
6328001070,6328001222,0,675720751,,,footway,,False,True,14.556000000000001,"LINESTRING (-122.321983 47.6014628, -122.322024 47.6014452, -122.3220701 47.6014195, -122.3221015 47.6013928, -122.3221167 47.6013714)",,,
6328001078,6328001187,0,675720753,,,footway,,False,False,13.878,"LINESTRING (-122.3214773 47.6010004, -122.3214611 47.6010382, -122.3214524 47.6010763, -122.3214475 47.6011231)",,,
6328001078,6328001059,0,675720760,,,footway,,False,False,11.817999999999998,"LINESTRING (-122.3214773 47.6010004, -122.3214397 47.6010132, -122.3214076 47.6010197, -122.3213747 47.6010216, -122.3213264 47.6010162)",,,
6328001078,6328001222,0,675720760,,,footway,,False,True,72.499,"LINESTRING (-122.3214773 47.6010004, -122.321498 47.6009856, -122.3215326 47.6009686, -122.3215643 47.6009608, -122.3215983 47.6009599, -122.3216312 47.600964, -122.3216572 47.6009732, -122.3217234 47.6010092, -122.3217622 47.6010354, -122.3220751 47.6012805, -122.3220972 47.6013042, -122.3221093 47.6013261, -122.3221167 47.6013714)",,,
6328001187,6328001059,0,675720747,,,footway,,False,True,14.978000000000002,"LINESTRING (-122.3214475 47.6011231, -122.3213933 47.6010695, -122.3213264 47.6010162)",,,
6328001187,6328001026,0,675720753,,,footway,,False,False,48.09700000000001,"LINESTRING (-122.3214475 47.6011231, -122.3214691 47.6011651, -122.3215185 47.601248, -122.3215776 47.6013156, -122.3216496 47.6013767, -122.3217026 47.6014068, -122.321818 47.6014622)",,,
6328001187,6328001078,0,675720753,,,footway,,False,True,13.878,"LINESTRING (-122.3214475 47.6011231, -122.3214524 47.6010763, -122.3214611 47.6010382, -122.3214773 47.6010004)",,,
6328001212,5296969672,0,675720741,,,footway,,False,False,6.485,"LINESTRING (-122.3208486 47.6015738, -122.3209351 47.6015738)",,,
6328001212,6328001024,0,675720741,,,footway,,False,True,32.98,"LINESTRING (-122.3208486 47.6015738, -122.3205783 47.601573, -122.3204461 47.6015726, -122.3204467 47.6015978)",,,
6328001212,298272510,0,"[675720755, 675720756, 675720759]",,,"['footway', 'steps']",,False,True,52.728,"LINESTRING (-122.3208486 47.6015738, -122.3206687 47.6012274, -122.3206425 47.6011741, -122.3206177 47.6011259)",,,
6328001218,6328001070,0,675720750,,,footway,,False,True,16.719,"LINESTRING (-122.3222021 47.6014892, -122.3221268 47.6014764, -122.3220551 47.6014675, -122.321983 47.6014628)",,,
6328001218,6328001222,0,675720760,,,footway,,False,False,14.84,"LINESTRING (-122.3222021 47.6014892, -122.3221715 47.601465, -122.3221486 47.6014392, -122.322128 47.6014089, -122.3221167 47.6013714)",,,
6328001218,5769011371,0,675720760,,,footway,,False,True,14.222000000000001,"LINESTRING (-122.3222021 47.6014892, -122.3222691 47.6015116, -122.3222961 47.601525, -122.3223127 47.6015396, -122.3223171 47.6015515, -122.3223173 47.6015757)",,,
6328001222,6328001070,0,675720751,,,footway,,False,False,14.556,"LINESTRING (-122.3221167 47.6013714, -122.3221015 47.6013928, -122.3220701 47.6014195, -122.322024 47.6014452, -122.321983 47.6014628)",,,
6328001222,6328001078,0,675720760,,,footway,,False,False,72.499,"LINESTRING (-122.3221167 47.6013714, -122.3221093 47.6013261, -122.3220972 47.6013042, -122.3220751 47.6012805, -122.3217622 47.6010354, -122.3217234 47.6010092, -122.3216572 47.6009732, -122.3216312 47.600964, -122.3215983 47.6009599, -122.3215643 47.6009608, -122.3215326 47.6009686, -122.321498 47.6009856, -122.3214773 47.6010004)",,,
6328001222,6328001218,0,675720760,,,footway,,False,True,14.84,"LINESTRING (-122.3221167 47.6013714, -122.322128 47.6014089, -122.3221486 47.6014392, -122.3221715 47.601465, -122.3222021 47.6014892)",,,
6577724863,11080212168,0,700436718,,,service,,False,False,18.916999999999998,"LINESTRING (-122.3189135 47.5981059, -122.3189543 47.5982544, -122.3189542 47.5982735)",,parking_aisle,
6577724865,5440429939,0,369922295,2,South King Street,residential,20 mph,False,False,23.822,"LINESTRING (-122.3189551 47.5983477, -122.3186374 47.5983467)",,,
6577724865,5440429926,0,369922295,2,South King Street,residential,20 mph,False,True,2.227,"LINESTRING (-122.3189551 47.5983477, -122.3189848 47.5983478)",,,
6577724865,11080212168,0,700436718,,,service,,False,True,8.251,"LINESTRING (-122.3189551 47.5983477, -122.3189542 47.5982735)",,parking_aisle,
6582353776,5440429923,0,369922295,2,South King Street,residential,20 mph,False,False,15.027,"LINESTRING (-122.317984 47.5983442, -122.3177836 47.5983432)",,,
6582353776,5440429936,0,369922295,2,South King Street,residential,20 mph,False,True,12.747,"LINESTRING (-122.317984 47.5983442, -122.318154 47.5983447)",,,
6582353776,11080212165,0,700908791,,,service,,False,False,8.017,"LINESTRING (-122.317984 47.5983442, -122.3179832 47.5982721)",,driveway,
6582353778,11080212165,0,700908791,,,service,,False,True,27.31,"LINESTRING (-122.3179827 47.5980265, -122.3179833 47.5982515, -122.3179832 47.5982721)",,driveway,
6582511863,11078002714,0,700929371,,,service,,False,False,25.807000000000002,"LINESTRING (-122.3175174 47.5986843, -122.3175174 47.5985618, -122.3173549 47.5985602)",,driveway,
6582511865,11078002714,0,700929371,,,service,,False,True,8.939,"LINESTRING (-122.3172357 47.5985591, -122.3173549 47.5985602)",,driveway,
6582511865,8018004518,0,969976886,5,12th Avenue South,secondary,25 mph,False,False,14.244,"LINESTRING (-122.3172357 47.5985591, -122.317235 47.598431)",,,
6582511865,5440429943,0,428234195,5,12th Avenue South,secondary,25 mph,False,True,41.019999999999996,"LINESTRING (-122.3172357 47.5985591, -122.3172356 47.5986911, -122.3172353 47.598928)",,,
6584442112,8018004527,0,500021854,5,12th Avenue South,secondary,25 mph,False,False,44.99,"LINESTRING (-122.3172357 47.5979938, -122.317235 47.5975892)",,,
6584442112,11080212140,0,500021854,5,12th Avenue South,secondary,25 mph,False,True,31.513,"LINESTRING (-122.3172357 47.5979938, -122.3172358 47.5982772)",,,
6584442112,11080212190,0,701121117,,,service,,False,False,8.046,"LINESTRING (-122.3172357 47.5979938, -122.3171284 47.5979937)",,driveway,
6584442114,11080212190,0,701121117,,,service,,False,True,36.801,"LINESTRING (-122.3167735 47.5980846, -122.3167727 47.5979935, -122.317089 47.5979937, -122.3171284 47.5979937)",,driveway,
6585327207,11083342543,0,701201078,,,service,,False,False,9.218,"LINESTRING (-122.3168253 47.5975001, -122.316825 47.597583)",,driveway,
6585327207,11083342521,0,1364999756,2,South Weller Street,residential,20 mph,False,True,21.738,"LINESTRING (-122.3168253 47.5975001, -122.3171152 47.5974998)",,,
6585327207,4978169362,0,1364999758,2,South Weller Street,residential,20 mph,False,False,2.145,"LINESTRING (-122.3168253 47.5975001, -122.3167967 47.5975001)",,,
6585327209,11083342543,0,701201078,,,service,,False,True,21.638,"LINESTRING (-122.31678 47.5977743, -122.3168156 47.5976802, -122.3168255 47.5975985, -122.316825 47.597583)",,driveway,
6585327212,11083342542,0,701201080,,,service,,False,False,34.315,"LINESTRING (-122.3166283 47.5978912, -122.316627 47.5976773, -122.3166265 47.5975826)",,driveway,
6585327213,11083342542,0,701201080,,,service,,False,True,9.151,"LINESTRING (-122.3166262 47.5975003, -122.3166265 47.5975826)",,driveway,
6585327213,4978169362,0,1284805253,2,South Weller Street,residential,20 mph,False,True,12.785,"LINESTRING (-122.3166262 47.5975003, -122.3167967 47.5975001)",,,
6585327213,4978169359,0,1364999757,2,South Weller Street,residential,20 mph,False,False,17.186,"LINESTRING (-122.3166262 47.5975003, -122.316397 47.5975005)",,,
6585419246,11083342545,0,701204883,,,service,,False,False,34.337,"LINESTRING (-122.3193817 47.5971267, -122.3193518 47.5972529, -122.319351 47.5974339)",,driveway,
6585419248,11083342545,0,701204883,,,service,,False,True,7.906,"LINESTRING (-122.3193514 47.597505, -122.319351 47.5974339)",,driveway,
6585419248,8018029188,0,1284805252,2,South Weller Street,residential,20 mph,False,True,15.184,"LINESTRING (-122.3193514 47.597505, -122.3195539 47.5975056)",,,
6585419248,3706916647,0,"[6477649, 1284805252]",2,South Weller Street,residential,20 mph,False,False,56.223,"LINESTRING (-122.3193514 47.597505, -122.3192969 47.5975048, -122.3191452 47.5975044, -122.3186016 47.5975028)",,,
6591865509,11080212172,0,701929443,,,service,,False,False,27.065,"LINESTRING (-122.3158454 47.5986615, -122.3158435 47.5984181)",,driveway,
6591865510,11080212172,0,701929443,,,service,,False,True,9.174,"LINESTRING (-122.3158437 47.5983356, -122.3158435 47.5984181)",,driveway,
