path_id,osm_ids,u,v,image_list
3,608843304,10706048845,5767262916,"['image_14207', 'image_12859', 'image_12895', 'image_5364', 'image_21928']"
3,608843304,5767262916,5767262915,"['image_12895', 'image_11775', 'image_21928']"
3,608843306,10699767469,5767473736,"['image_4551', 'image_2801', 'image_12104', 'image_22833']"
3,"[1213134204, 1213134205]",10699767478,5771925942,"['image_4425', 'image_3572', 'image_15388', 'image_15450', 'image_15890', 'image_12269', 'image_11572', 'image_9622', 'image_19949', 'image_19176']"
3,"[1300436422, 1300436423]",12045314047,5767275476,"['image_11177', 'image_9775', 'image_836', 'image_20441', 'image_20701', 'image_6588', 'image_7341']"
3,"[436165671, 436165672, 436165674, 450556878, 608811798]",12045314047,5767262927,"['image_3692', 'image_4058', 'image_15841', 'image_6060', 'image_2468', 'image_11683', 'image_10622', 'image_11394', 'image_1112', 'image_8977', 'image_9162', 'image_9366', 'image_836', 'image_20699', 'image_22591', 'image_8139', 'image_25424', 'image_24276']"
3,"[436165689, 307269357, 1385538118]",5767288948,4340440487,"['image_16305', 'image_16519', 'image_2576', 'image_1076', 'image_1819', 'image_8570', 'image_8601', 'image_9764', 'image_115', 'image_19942', 'image_18230', 'image_18656', 'image_17679']"
3,"[608811794, 608811788, 608811789]",5767262913,5767262911,"['image_12770', 'image_5939', 'image_6235', 'image_11775', 'image_12731', 'image_10367', 'image_20613', 'image_17354']"
3,"[608811795, 608811790, 608811791]",5767262915,5767262914,"['image_12895', 'image_16071', 'image_5939', 'image_6235', 'image_11775', 'image_20613', 'image_21928']"
3,"[608843297, 608843301, 608843295]",5771921496,5767473736,"['image_4425', 'image_4551', 'image_2801', 'image_3572', 'image_15388', 'image_15890', 'image_12104', 'image_22833', 'image_24718']"
4,1213134204,5771925942,5771921496,"['image_4425', 'image_3572', 'image_15388', 'image_15890']"
4,1268858357,12828014348,10897695311,"['image_14089', 'image_15836', 'image_19344', 'image_20590', 'image_23864', 'image_7657']"
4,1268858357,12828014386,10897695311,"['image_14089', 'image_15836', 'image_19344', 'image_20590', 'image_22736', 'image_23864', 'image_7657']"
4,1312341370,12147022606,12146953279,"['image_9001', 'image_22185']"
4,1312341371,10699767447,5767251508,"['image_22185', 'image_24243']"
4,1312341387,10699767447,5767251528,"['image_13546', 'image_1570', 'image_28', 'image_22185', 'image_24243']"
4,307269357,12828014348,4340440487,"['image_14089', 'image_15836', 'image_16519', 'image_1925', 'image_2576', 'image_12189', 'image_9764', 'image_115', 'image_19344', 'image_20590', 'image_23864', 'image_7657', 'image_18230']"
4,608805275,5767210832,5767210831,"['image_2780', 'image_6468', 'image_9828', 'image_21209', 'image_24198']"
4,608805278,5767210832,5767210827,"['image_14258', 'image_2780', 'image_6468', 'image_12479', 'image_8589', 'image_8989', 'image_9828', 'image_10258', 'image_21209', 'image_21533', 'image_25443', 'image_24198']"
4,608810480,5767251512,5767210827,"['image_14258', 'image_12479', 'image_8589', 'image_8989', 'image_21533', 'image_25443']"
4,608810705,5767254762,5767254755,"['image_13546', 'image_12082', 'image_18797']"
4,608810712,5767254763,5767254762,"['image_13546', 'image_12082', 'image_1570', 'image_28', 'image_18797']"
4,608810713,5767254763,5767251528,"['image_13546', 'image_1570', 'image_28']"
4,609349107,5771921496,5767254755,"['image_4425', 'image_13546', 'image_3572', 'image_15388', 'image_15890', 'image_12082', 'image_18797']"
4,"[1213134204, 1213134205]",10699767478,5771925942,"['image_4425', 'image_3572', 'image_15388', 'image_15450', 'image_15890', 'image_12269', 'image_11572', 'image_9622', 'image_19949', 'image_19176']"
4,"[1312341370, 608808798]",12147022606,5767210831,"['image_2780', 'image_6468', 'image_9001', 'image_9828', 'image_24198']"
4,"[1312341384, 1312341371]",12146953279,5767251508,"['image_22185', 'image_24243']"
4,"[879215161, 1268858357]",12828014386,5767251512,"['image_14258', 'image_13516', 'image_8589', 'image_8989', 'image_9290', 'image_601', 'image_22736', 'image_21533', 'image_25443', 'image_25847']"
