osmid,y,x,street_count,highway,ref,geometry,elevation
8362857625,47.6230695,-122.3221064,3,,,POINT (-122.3221064 47.6230695),103
8362857626,47.6230893,-122.3229912,3,,,POINT (-122.3229912 47.6230893),100
8362857627,47.6220667,-122.3231712,3,,,POINT (-122.3231712 47.6220667),98
8362857628,47.6220581,-122.323937,3,,,POINT (-122.323937 47.6220581),94
8362857629,47.623077,-122.3239387,4,,,POINT (-122.3239387 47.623077),95
8362857630,47.6230886,-122.3231551,3,,,POINT (-122.3231551 47.6230886),100
8362857631,47.6230951,-122.3253983,3,,,POINT (-122.3253983 47.6230951),83
8362857637,47.6231015,-122.3252392,3,,,POINT (-122.3252392 47.6231015),83
8362857642,47.6230902,-122.3252298,3,,,POINT (-122.3252298 47.6230902),83
8362857644,47.623091,-122.3241445,3,,,POINT (-122.3241445 47.623091),95
8362857645,47.6220597,-122.324139,3,,,POINT (-122.324139 47.6220597),94
8362857651,47.6220249,-122.3252207,3,,,POINT (-122.3252207 47.6220249),84
8362857653,47.6220303,-122.3254027,3,,,POINT (-122.3254027 47.6220303),84
8362857656,47.6230877,-122.3254197,3,,,POINT (-122.3254197 47.6230877),83
8362857657,47.6220439,-122.325419,3,,,POINT (-122.325419 47.6220439),84
8362857669,47.6196529,-122.3253946,3,,,POINT (-122.3253946 47.6196529),82
8362857671,47.6196646,-122.325402,3,,,POINT (-122.325402 47.6196646),82
8362857676,47.6195707,-122.3264765,3,,,POINT (-122.3264765 47.6195707),77
8362857677,47.6195872,-122.3254063,3,,,POINT (-122.3254063 47.6195872),82
8362857678,47.6192718,-122.3264735,3,,,POINT (-122.3264735 47.6192718),77
8362857679,47.6192663,-122.325394,3,,,POINT (-122.325394 47.6192663),82
8362857695,47.6189807,-122.325387,3,,,POINT (-122.325387 47.6189807),80
8362857696,47.6191787,-122.3253898,3,,,POINT (-122.3253898 47.6191787),82
8362857697,47.619181,-122.3264872,3,,,POINT (-122.3264872 47.619181),77
8362857701,47.623084,-122.3264973,4,,,POINT (-122.3264973 47.623084),83
8362857711,47.6230953,-122.3266815,3,,,POINT (-122.3266815 47.6230953),78
8362857715,47.6184188,-122.3268812,3,,,POINT (-122.3268812 47.6184188),66
8362857719,47.6183944,-122.3266624,3,,,POINT (-122.3266624 47.6183944),73
8362857720,47.6184208,-122.326651,3,,,POINT (-122.326651 47.6184208),73
8362857735,47.6207847,-122.3264922,4,,,POINT (-122.3264922 47.6207847),77
8362857742,47.6185867,-122.3277568,3,,,POINT (-122.3277568 47.6185867),55
8362857743,47.6185814,-122.3268541,4,,,POINT (-122.3268541 47.6185814),66
8362857751,47.620779,-122.3266964,3,,,POINT (-122.3266964 47.620779),67
8362857759,47.6220425,-122.3264895,4,,,POINT (-122.3264895 47.6220425),78
8362857769,47.6230848,-122.3266976,3,,,POINT (-122.3266976 47.6230848),78
8362857771,47.6231865,-122.3267038,4,,,POINT (-122.3267038 47.6231865),78
8362857772,47.6242508,-122.3267181,3,,,POINT (-122.3267181 47.6242508),71
8362857775,47.6242134,-122.3278026,3,,,POINT (-122.3278026 47.6242134),54
8362857777,47.6220389,-122.3278587,3,,,POINT (-122.3278587 47.6220389),57
8364514724,47.6146121,-122.3348166,3,,,POINT (-122.3348166 47.6146121),43
8430534994,47.6081633,-122.3235538,1,,,POINT (-122.3235538 47.6081633),97
8430535003,47.6086049,-122.3229282,3,,,POINT (-122.3229282 47.6086049),107
8430535005,47.6085198,-122.3231285,3,,,POINT (-122.3231285 47.6085198),107
8430535621,47.6080702,-122.3234695,3,,,POINT (-122.3234695 47.6080702),97
8436397021,47.5993098,-122.3294098,1,,,POINT (-122.3294098 47.5993098),11
8436397024,47.5977518,-122.3294207,1,,,POINT (-122.3294207 47.5977518),5
8462426282,47.6146276,-122.323332,3,,,POINT (-122.323332 47.6146276),91
8462426284,47.6146215,-122.3227826,3,,,POINT (-122.3227826 47.6146215),91
8462426287,47.6145984,-122.3222568,3,,,POINT (-122.3222568 47.6145984),92
8474720160,47.5976154,-122.3300572,4,,,POINT (-122.3300572 47.5976154),3
8490412545,47.6216011,-122.357073,3,,,POINT (-122.357073 47.6216011),27
8491062070,47.6239492,-122.337026,3,,,POINT (-122.337026 47.6239492),19
8501004185,47.6174105,-122.3234512,3,,,POINT (-122.3234512 47.6174105),87
8501004186,47.6174116,-122.3238117,3,,,POINT (-122.3238117 47.6174116),87
8501004190,47.617412,-122.3239572,1,,,POINT (-122.3239572 47.617412),87
8501004192,47.6175207,-122.3234529,3,,,POINT (-122.3234529 47.6175207),90
8501376586,47.6190278,-122.3234514,3,,,POINT (-122.3234514 47.6190278),88
8501376587,47.6190212,-122.3238471,1,,,POINT (-122.3238471 47.6190212),88
8501376590,47.6170869,-122.3225984,1,,,POINT (-122.3225984 47.6170869),93
8501376596,47.615919,-122.3227468,3,,,POINT (-122.3227468 47.615919),91
8501376597,47.6160201,-122.3227705,1,,,POINT (-122.3227705 47.6160201),91
8501376598,47.6160968,-122.3234373,3,,,POINT (-122.3234373 47.6160968),87
8501376599,47.6160966,-122.3229345,1,,,POINT (-122.3229345 47.6160966),91
8501376600,47.6155902,-122.3234252,3,,,POINT (-122.3234252 47.6155902),87
8501376601,47.6155905,-122.3232764,1,,,POINT (-122.3232764 47.6155905),88
8501376602,47.6148837,-122.3234149,3,,,POINT (-122.3234149 47.6148837),89
8507802561,47.5986787,-122.3298268,1,,,POINT (-122.3298268 47.5986787),11
8511558913,47.621313,-122.3499337,1,,,POINT (-122.3499337 47.621313),41
8515694681,47.6192154,-122.3200814,3,,,POINT (-122.3200814 47.6192154),103
8515694682,47.6199183,-122.3200969,3,,,POINT (-122.3200969 47.6199183),103
8528921003,47.6101712,-122.3211772,3,,,POINT (-122.3211772 47.6101712),114
8528921004,47.6102374,-122.3211243,1,,,POINT (-122.3211243 47.6102374),114
8533314785,47.598441,-122.3262555,4,,,POINT (-122.3262555 47.598441),18
8533314788,47.598649,-122.3262656,3,,,POINT (-122.3262656 47.598649),18
8533314789,47.5984975,-122.3259284,4,,,POINT (-122.3259284 47.5984975),18
8533314790,47.5984403,-122.3259262,3,,,POINT (-122.3259262 47.5984403),18
8533314794,47.5986322,-122.3257903,3,,,POINT (-122.3257903 47.5986322),19
8533314796,47.5986367,-122.3259539,3,,,POINT (-122.3259539 47.5986367),18
8533314797,47.5986553,-122.3259635,3,,,POINT (-122.3259635 47.5986553),18
8533314799,47.5986721,-122.3261248,3,,,POINT (-122.3261248 47.5986721),18
8533314800,47.598715,-122.3261459,3,,,POINT (-122.3261459 47.598715),18
8533314802,47.5985591,-122.3260746,4,,,POINT (-122.3260746 47.5985591),18
8533314803,47.5986843,-122.3259166,3,,,POINT (-122.3259166 47.5986843),18
8533314806,47.5986979,-122.3257307,4,,,POINT (-122.3257307 47.5986979),19
8533314807,47.598715,-122.326265,3,,,POINT (-122.326265 47.598715),18
8533314810,47.5986023,-122.32563,3,,,POINT (-122.32563 47.5986023),19
8533314812,47.5985075,-122.3261553,4,,,POINT (-122.3261553 47.5985075),18
8534832144,47.5987251,-122.3259221,3,,,POINT (-122.3259221 47.5987251),18
8534832149,47.59867,-122.3257009,3,,,POINT (-122.3257009 47.59867),19
8534832152,47.5987652,-122.32517,3,,,POINT (-122.32517 47.5987652),19
8535885784,47.6136145,-122.3409794,3,,,POINT (-122.3409794 47.6136145),56
8535885786,47.6134488,-122.3411932,1,,,POINT (-122.3411932 47.6134488),56
8535931343,47.5984386,-122.3255932,3,,,POINT (-122.3255932 47.5984386),19
8535931358,47.5985464,-122.3256813,3,,,POINT (-122.3256813 47.5985464),19
8535931360,47.598544,-122.3258367,3,,,POINT (-122.3258367 47.598544),18
8549730064,47.605343,-122.329969,3,,,POINT (-122.329969 47.605343),45
8549730066,47.6053999,-122.3298304,3,,,POINT (-122.3298304 47.6053999),45
8549730068,47.6052571,-122.3292368,1,,,POINT (-122.3292368 47.6052571),45
8549730070,47.6053208,-122.3290849,3,,,POINT (-122.3290849 47.6053208),41
8555014141,47.6237506,-122.3233173,1,,,POINT (-122.3233173 47.6237506),103
8555014154,47.6238025,-122.3233172,3,,,POINT (-122.3233172 47.6238025),103
8588416275,47.5987579,-122.3335515,4,,,POINT (-122.3335515 47.5987579),18
8588416277,47.5987567,-122.3341298,3,,,POINT (-122.3341298 47.5987567),18
8597628422,47.6169935,-122.3188645,3,,,POINT (-122.3188645 47.6169935),98
8597628423,47.617037,-122.3188516,3,,,POINT (-122.3188516 47.617037),98
8597628430,47.617121,-122.3188109,3,,,POINT (-122.3188109 47.617121),98
8597628433,47.6170626,-122.3188419,3,,,POINT (-122.3188419 47.6170626),98
8597628437,47.6171129,-122.3187099,3,,,POINT (-122.3187099 47.6171129),98
8597628438,47.6171361,-122.3186769,3,,,POINT (-122.3186769 47.6171361),98
8597628439,47.6171602,-122.3187166,3,,,POINT (-122.3187166 47.6171602),98
8597628440,47.6171398,-122.3187489,3,,,POINT (-122.3187489 47.6171398),98
8597628454,47.6154417,-122.3184005,3,,,POINT (-122.3184005 47.6154417),96
8597628463,47.6154804,-122.3183997,3,,,POINT (-122.3183997 47.6154804),96
8597628464,47.6157327,-122.318297,3,,,POINT (-122.318297 47.6157327),98
8597628475,47.6171124,-122.318517,3,,,POINT (-122.318517 47.6171124),98
8597628479,47.6171662,-122.3186086,3,,,POINT (-122.3186086 47.6171662),98
8597628481,47.6170134,-122.3188515,3,,,POINT (-122.3188515 47.6170134),98
8597628486,47.6170731,-122.3188696,1,,,POINT (-122.3188696 47.6170731),98
8597628487,47.6171838,-122.3186118,1,,,POINT (-122.3186118 47.6171838),98
8597795098,47.6074731,-122.3369133,3,,,POINT (-122.3369133 47.6074731),42
8597795099,47.6075111,-122.3369497,5,,,POINT (-122.3369497 47.6075111),41
8597795101,47.607773,-122.3363044,3,,,POINT (-122.3363044 47.607773),42
8597795102,47.6077374,-122.3362725,3,,,POINT (-122.3362725 47.6077374),42
8597795103,47.6077262,-122.3364199,3,,,POINT (-122.3364199 47.6077262),42
8597795104,47.6076913,-122.3363865,3,,,POINT (-122.3363865 47.6076913),42
8597795105,47.6076993,-122.3364855,3,,,POINT (-122.3364855 47.6076993),42
8597795106,47.6076639,-122.3364525,3,,,POINT (-122.3364525 47.6076639),42
8597795107,47.6076697,-122.336559,3,,,POINT (-122.336559 47.6076697),42
8597795108,47.6076344,-122.3365239,3,,,POINT (-122.3365239 47.6076344),42
8597795109,47.6076406,-122.3366307,3,,,POINT (-122.3366307 47.6076406),42
8597795110,47.6076044,-122.3365964,3,,,POINT (-122.3365964 47.6076044),42
8597795111,47.6078035,-122.337382,3,,,POINT (-122.337382 47.6078035),41
8625018871,47.6054256,-122.3300405,1,,,POINT (-122.3300405 47.6054256),53
8625018872,47.6053273,-122.3297669,1,,,POINT (-122.3297669 47.6053273),45
8632287009,47.6117325,-122.3492145,3,,,POINT (-122.3492145 47.6117325),5
8637542362,47.5967856,-122.3234628,1,,,POINT (-122.3234628 47.5967856),22
8637542363,47.5969039,-122.3235932,1,,,POINT (-122.3235932 47.5969039),22
8666083897,47.6047104,-122.3180077,3,,,POINT (-122.3180077 47.6047104),87
8666083899,47.6047095,-122.3179499,1,,,POINT (-122.3179499 47.6047095),87
8666083900,47.6046879,-122.3180077,3,,,POINT (-122.3180077 47.6046879),87
8666083902,47.604688,-122.3179504,1,,,POINT (-122.3179504 47.604688),87
8666083903,47.6047102,-122.3179724,3,,,POINT (-122.3179724 47.6047102),87
8666083904,47.6046882,-122.3179732,4,,,POINT (-122.3179732 47.6046882),87
8666083906,47.6045872,-122.3180075,3,,,POINT (-122.3180075 47.6045872),87
8754698696,47.5993622,-122.3296623,3,,,POINT (-122.3296623 47.5993622),11
8754698697,47.6001085,-122.3291116,3,,,POINT (-122.3291116 47.6001085),13
8758984588,47.6105794,-122.3393304,4,crossing,,POINT (-122.3393304 47.6105794),50
8763595738,47.6204952,-122.3265909,3,,,POINT (-122.3265909 47.6204952),77
8763595744,47.6202805,-122.3265892,3,,,POINT (-122.3265892 47.6202805),77
8774124084,47.6120843,-122.3276438,3,,,POINT (-122.3276438 47.6120843),89
8774124085,47.611903,-122.3274805,3,,,POINT (-122.3274805 47.611903),95
8795615045,47.6138094,-122.3435139,3,,,POINT (-122.3435139 47.6138094),48
8795615046,47.6137995,-122.343543,3,,,POINT (-122.343543 47.6137995),48
8795615048,47.6139065,-122.343691,3,,,POINT (-122.343691 47.6139065),48
8795615049,47.6139242,-122.3436954,3,,,POINT (-122.3436954 47.6139242),48
8795615050,47.6145829,-122.3448102,3,,,POINT (-122.3448102 47.6145829),43
8795615051,47.614587,-122.3448171,3,,,POINT (-122.3448171 47.614587),43
8795615054,47.6146854,-122.3449836,3,,,POINT (-122.3449836 47.6146854),43
8795615055,47.6146895,-122.3449907,3,,,POINT (-122.3449907 47.6146895),43
8795615056,47.6153467,-122.3461202,3,,,POINT (-122.3461202 47.6153467),39
8795615057,47.6153398,-122.34614,3,,,POINT (-122.34614 47.6153398),39
8795615058,47.6148483,-122.346783,3,,,POINT (-122.346783 47.6148483),40
8795615059,47.6148379,-122.346797,3,,,POINT (-122.346797 47.6148379),40
8795615063,47.6148364,-122.344802,4,,,POINT (-122.344802 47.6148364),43
8795615065,47.6153311,-122.3441231,3,,,POINT (-122.3441231 47.6153311),46
8795615067,47.6160172,-122.3452582,3,,,POINT (-122.3452582 47.6160172),40
8795615069,47.615516,-122.3459102,3,,,POINT (-122.3459102 47.615516),39
8795615070,47.6155023,-122.3459134,3,,,POINT (-122.3459134 47.6155023),39
8795615072,47.615957,-122.345157,4,crossing,,POINT (-122.345157 47.615957),40
8795615075,47.6147349,-122.3446203,3,,,POINT (-122.3446203 47.6147349),43
8795615078,47.614576,-122.3428436,3,,,POINT (-122.3428436 47.614576),50
8795615079,47.6146003,-122.3428438,3,,,POINT (-122.3428438 47.6146003),50
8795615080,47.6152434,-122.343954,3,,,POINT (-122.343954 47.6152434),46
8795615081,47.6152387,-122.3439652,3,,,POINT (-122.3439652 47.6152387),46
8795615088,47.614195,-122.347625,3,,,POINT (-122.347625 47.614195),33
8795615090,47.6146889,-122.3469733,3,,,POINT (-122.3469733 47.6146889),40
8795615106,47.6125908,-122.3454053,3,,,POINT (-122.3454053 47.6125908),36
8795737055,47.61544,-122.3463059,3,,,POINT (-122.3463059 47.61544),39
8795737056,47.6154612,-122.3463246,3,,,POINT (-122.3463246 47.6154612),39
8795737057,47.6158921,-122.3470563,3,,,POINT (-122.3470563 47.6158921),45
8795737058,47.6158913,-122.3470748,3,,,POINT (-122.3470748 47.6158913),45
8795737060,47.6153903,-122.3477111,4,,,POINT (-122.3477111 47.6153903),48
