osmid,y,x,street_count,highway,ref,geometry
2492698842,47.6202183,-122.3547626,1,,,POINT (-122.3547626 47.6202183)
2494550849,47.6220689,-122.3478285,3,,,POINT (-122.3478285 47.6220689)
2494550850,47.6220713,-122.3481473,3,,,POINT (-122.3481473 47.6220713)
2497824804,47.6189846,-122.3574042,3,,,POINT (-122.3574042 47.6189846)
2497824808,47.6191124,-122.3567559,3,,,POINT (-122.3567559 47.6191124)
2497824809,47.6191136,-122.3574025,3,,,POINT (-122.3574025 47.6191136)
2497824811,47.6191336,-122.3574128,3,,,POINT (-122.3574128 47.6191336)
2497824813,47.6191743,-122.3560973,3,,,POINT (-122.3560973 47.6191743)
2497824814,47.6191776,-122.3567568,3,,,POINT (-122.3567568 47.6191776)
2497824816,47.6192717,-122.3554564,3,,,POINT (-122.3554564 47.6192717)
2497824817,47.6192767,-122.3560984,3,,,POINT (-122.3560984 47.6192767)
2497824820,47.6194473,-122.3574121,3,,,POINT (-122.3574121 47.6194473)
2497824821,47.6194526,-122.3578216,1,,,POINT (-122.3578216 47.6194526)
2497824822,47.6196215,-122.3574122,3,,,POINT (-122.3574122 47.6196215)
2497824855,47.620768,-122.3590973,1,,,POINT (-122.3590973 47.620768)
2497824862,47.6209475,-122.3587656,3,,,POINT (-122.3587656 47.6209475)
2499641773,47.6182132,-122.3476276,3,,,POINT (-122.3476276 47.6182132)
2507554325,47.6177654,-122.338113,3,,,POINT (-122.338113 47.6177654)
2508991010,47.6220586,-122.3462945,4,,,POINT (-122.3462945 47.6220586)
2511024343,47.6115058,-122.348501,3,,,POINT (-122.348501 47.6115058)
2511024344,47.6114763,-122.3485402,3,,,POINT (-122.3485402 47.6114763)
2511024357,47.6144418,-122.3542717,3,,,POINT (-122.3542717 47.6144418)
2511024358,47.6148795,-122.3549779,3,,,POINT (-122.3549779 47.6148795)
2511119195,47.62207,-122.343598,3,traffic_signals,,POINT (-122.343598 47.62207)
2511119206,47.6220669,-122.343779,3,traffic_signals,,POINT (-122.343779 47.6220669)
2511119217,47.62386,-122.3442116,3,,,POINT (-122.3442116 47.62386)
2511955247,47.6220311,-122.33718,4,,,POINT (-122.33718 47.6220311)
2513547685,47.621074,-122.3320345,1,,,POINT (-122.3320345 47.621074)
2517846592,47.6073389,-122.3394294,3,,,POINT (-122.3394294 47.6073389)
2517846598,47.607379,-122.3397097,1,,,POINT (-122.3397097 47.607379)
2524932946,47.5996394,-122.3274181,3,,,POINT (-122.3274181 47.5996394)
2534435637,47.6050808,-122.3408405,1,,,POINT (-122.3408405 47.6050808)
2602495155,47.6173474,-122.3582935,1,,,POINT (-122.3582935 47.6173474)
2693014170,47.6025084,-122.3342032,4,crossing,,POINT (-122.3342032 47.6025084)
2704763154,47.6241943,-122.3343517,3,,,POINT (-122.3343517 47.6241943)
2704769652,47.6208976,-122.3450093,4,,,POINT (-122.3450093 47.6208976)
2704822116,47.6198237,-122.3499846,3,,,POINT (-122.3499846 47.6198237)
2704822128,47.6190302,-122.3501853,3,,,POINT (-122.3501853 47.6190302)
2705164816,47.6106467,-122.3476263,4,,,POINT (-122.3476263 47.6106467)
2705166859,47.6107987,-122.3490004,3,,,POINT (-122.3490004 47.6107987)
2705166864,47.6110993,-122.3489813,3,,,POINT (-122.3489813 47.6110993)
2705166954,47.614175,-122.3535764,3,,,POINT (-122.3535764 47.614175)
2705166956,47.6140832,-122.3545019,3,,,POINT (-122.3545019 47.6140832)
2705166964,47.6143265,-122.3538285,3,,,POINT (-122.3538285 47.6143265)
2706234626,47.6115749,-122.3487358,3,,,POINT (-122.3487358 47.6115749)
2706234628,47.6115636,-122.348586,1,,,POINT (-122.348586 47.6115636)
2706234630,47.6115531,-122.3485684,1,,,POINT (-122.3485684 47.6115531)
2706236965,47.6078922,-122.3422538,3,,,POINT (-122.3422538 47.6078922)
2706253327,47.5976286,-122.3276849,4,crossing,,POINT (-122.3276849 47.5976286)
2706253329,47.59752,-122.3290315,3,traffic_signals,,POINT (-122.3290315 47.59752)
2706253330,47.5975188,-122.3286192,1,,,POINT (-122.3286192 47.5975188)
2706300474,47.6081253,-122.3208039,4,traffic_signals,,POINT (-122.3208039 47.6081253)
2778353522,47.6079287,-122.335861,1,,A1,POINT (-122.335861 47.6079287)
2778506043,47.6077543,-122.336523,1,,,POINT (-122.336523 47.6077543)
2778547420,47.6110112,-122.338384,1,,C1,POINT (-122.338384 47.6110112)
2778547421,47.6108386,-122.338154,1,,C2,POINT (-122.338154 47.6108386)
2778547428,47.6120598,-122.335908,1,,A1,POINT (-122.335908 47.6120598)
2996522580,47.618891,-122.3267451,3,,,POINT (-122.3267451 47.618891)
2996522581,47.6188798,-122.3253252,3,,,POINT (-122.3253252 47.6188798)
2996522582,47.6188575,-122.3267507,3,,,POINT (-122.3267507 47.6188575)
2996522584,47.6195673,-122.3272914,3,,,POINT (-122.3272914 47.6195673)
2996522585,47.6195693,-122.3265872,3,,,POINT (-122.3265872 47.6195693)
2996522587,47.61958,-122.3279054,3,,,POINT (-122.3279054 47.61958)
3006070714,47.6083101,-122.3413844,3,,,POINT (-122.3413844 47.6083101)
3006173124,47.597719,-122.3330995,1,,,POINT (-122.3330995 47.597719)
3017436474,47.6048205,-122.3383241,3,,,POINT (-122.3383241 47.6048205)
3017436476,47.6049636,-122.3384565,3,,,POINT (-122.3384565 47.6049636)
3017436478,47.6050097,-122.3383451,3,,,POINT (-122.3383451 47.6050097)
3017436479,47.6050988,-122.3381373,3,,,POINT (-122.3381373 47.6050988)
3123601633,47.6163603,-122.3283736,3,,,POINT (-122.3283736 47.6163603)
3126908641,47.6093131,-122.3447708,3,,,POINT (-122.3447708 47.6093131)
3126913091,47.5981966,-122.3362898,3,,,POINT (-122.3362898 47.5981966)
3126916799,47.5992314,-122.3362418,3,,,POINT (-122.3362418 47.5992314)
3229362672,47.6229924,-122.3541706,4,,,POINT (-122.3541706 47.6229924)
3229362673,47.6228679,-122.3544188,3,,,POINT (-122.3544188 47.6228679)
3229362678,47.6222428,-122.3548541,4,,,POINT (-122.3548541 47.6222428)
3229362682,47.6229902,-122.3534599,3,,,POINT (-122.3534599 47.6229902)
3229362683,47.6229605,-122.3534601,3,,,POINT (-122.3534601 47.6229605)
3229362685,47.6232898,-122.3534574,3,,,POINT (-122.3534574 47.6232898)
3229362687,47.6226807,-122.3534553,3,,,POINT (-122.3534553 47.6226807)
3245490808,47.6000388,-122.3291218,4,crossing,,POINT (-122.3291218 47.6000388)
3295641454,47.5992507,-122.323733,4,,,POINT (-122.323733 47.5992507)
3295692375,47.6039857,-122.3214667,3,,,POINT (-122.3214667 47.6039857)
3295692379,47.6040712,-122.3212637,3,,,POINT (-122.3212637 47.6040712)
3295704230,47.5992537,-122.3335483,3,,,POINT (-122.3335483 47.5992537)
3295705106,47.5992511,-122.3328922,4,traffic_signals,,POINT (-122.3328922 47.5992511)
3319167744,47.6073841,-122.3220428,1,,,POINT (-122.3220428 47.6073841)
3319167745,47.6071132,-122.3217919,1,,,POINT (-122.3217919 47.6071132)
3354858135,47.620899,-122.3328949,5,,,POINT (-122.3328949 47.620899)
3354858139,47.6209845,-122.3323585,4,,,POINT (-122.3323585 47.6209845)
3354858140,47.6209857,-122.3324171,4,,,POINT (-122.3324171 47.6209857)
3354858141,47.6209872,-122.3326357,4,,,POINT (-122.3326357 47.6209872)
3354858142,47.6209886,-122.3327465,4,,,POINT (-122.3327465 47.6209886)
3354858144,47.6210405,-122.3326707,3,,,POINT (-122.3326707 47.6210405)
3354858145,47.6210362,-122.3326348,3,,,POINT (-122.3326348 47.6210362)
3354858146,47.6210392,-122.3324215,3,,,POINT (-122.3324215 47.6210392)
3354858153,47.621123,-122.332417,3,,,POINT (-122.332417 47.621123)
3362970425,47.6201347,-122.3498893,3,,,POINT (-122.3498893 47.6201347)
3362970447,47.6203493,-122.3499047,3,,,POINT (-122.3499047 47.6203493)
3362970451,47.6203772,-122.3500029,3,,,POINT (-122.3500029 47.6203772)
3362970457,47.6204026,-122.3500542,1,,,POINT (-122.3500542 47.6204026)
3362970458,47.6204107,-122.3498254,3,,,POINT (-122.3498254 47.6204107)
3362970489,47.6207095,-122.349859,3,,,POINT (-122.349859 47.6207095)
3362973502,47.6207793,-122.3498549,3,,,POINT (-122.3498549 47.6207793)
3362973511,47.6208127,-122.3500851,1,,,POINT (-122.3500851 47.6208127)
3362973531,47.6209297,-122.3497245,4,,,POINT (-122.3497245 47.6209297)
3366830195,47.5982513,-122.3360152,1,,,POINT (-122.3360152 47.5982513)
3379045994,47.6086876,-122.3198376,1,,,POINT (-122.3198376 47.6086876)
3379045995,47.6086921,-122.3196301,1,,,POINT (-122.3196301 47.6086921)
3379045996,47.6088195,-122.3200624,3,,,POINT (-122.3200624 47.6088195)
3379045997,47.6088196,-122.3196301,3,,,POINT (-122.3196301 47.6088196)
3379045998,47.6088196,-122.3198374,4,,,POINT (-122.3198374 47.6088196)
3379046000,47.6091266,-122.3198375,3,,,POINT (-122.3198375 47.6091266)
3379046004,47.6092356,-122.3198375,3,,,POINT (-122.3198375 47.6092356)
3379046005,47.6092356,-122.3200625,3,,,POINT (-122.3200625 47.6092356)
3379046006,47.6092356,-122.3203549,3,,,POINT (-122.3203549 47.6092356)
3379046007,47.609368,-122.3203549,3,,,POINT (-122.3203549 47.609368)
3379046012,47.6095301,-122.3202294,1,,,POINT (-122.3202294 47.6095301)
3379046013,47.60953,-122.320449,1,,,POINT (-122.320449 47.60953)
3382224439,47.5962588,-122.3269015,3,,,POINT (-122.3269015 47.5962588)
3382224440,47.5962588,-122.3271635,3,,,POINT (-122.3271635 47.5962588)
3382224442,47.596424,-122.3271605,3,,,POINT (-122.3271605 47.596424)
3383659540,47.6116879,-122.33721,1,,,POINT (-122.33721 47.6116879)
3384911128,47.6120655,-122.3403144,3,,,POINT (-122.3403144 47.6120655)
3392827520,47.6232767,-122.3575202,3,,,POINT (-122.3575202 47.6232767)
3392827521,47.6233807,-122.3575172,1,,,POINT (-122.3575172 47.6233807)
3393299841,47.6225817,-122.331078,4,crossing,,POINT (-122.331078 47.6225817)
3393331435,47.6071746,-122.3216357,3,,,POINT (-122.3216357 47.6071746)
