,edge_id,u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,access,buffer_day,buffer_night,buffer_blended_day,buffer_blended_night,day_notes,night_notes,density_day,density_night,light_score,buffer_light,density_light,buffer_day_final_score,buffer_night_final_score,density_day_final_score,density_night_final_score,,AccessScore_slope
10,10,53089008,11077999066,0,333370569,2,South Jackson Street,secondary,25 mph,FALSE,FALSE,12.369,"LINESTRING (-122.317235 47.5992058, -122.317164 47.59918, -122.3170902 47.5991525)",,,,0,0,0,0,"{'Narcotics': {'count': 26, 'last_at': '2025-07-25 17:49:00'}, 'Property Offenses': {'count': 5, 'last_at': '2025-07-23 17:45:00'}, 'Larceny': {'count': 5, 'last_at': '2025-06-27 17:54:00'}, 'Aggravated Assault': {'count': 4, 'last_at': '2025-06-30 16:54:00'}, 'Weapon Law Violation': {'count': 3, 'last_at': '2025-06-05 09:43:00'}, 'Assault': {'count': 2, 'last_at': '2025-07-23 17:45:00'}, 'Disorderly Conduct': {'count': 1, 'last_at': '2024-12-11 11:59:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-29 06:35:00'}, 'Robbery': {'count': 1, 'last_at': '2024-10-16 12:00:00'}}","{'Aggravated Assault': {'count': 6, 'last_at': '2025-06-07 20:00:00'}, 'Weapon Law Violation': {'count': 4, 'last_at': '2025-07-11 21:39:00'}, 'Robbery': {'count': 3, 'last_at': '2024-12-19 20:43:00'}, 'Narcotics': {'count': 3, 'last_at': '2025-07-27 19:40:00'}, 'Motor Vehicle Theft': {'count': 2, 'last_at': '2024-10-26 19:00:00'}, 'Assault': {'count': 2, 'last_at': '2025-06-01 19:46:00'}, 'Larceny': {'count': 1, 'last_at': '2025-07-01 00:00:00'}, 'Fraud/Bribery': {'count': 1, 'last_at': '2025-05-02 19:40:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-12 01:34:00'}}",0.46009214808118537,0.5776688418632446,0.080847279,0,0.5870094327252907,0,0,0.29115968482648324,0.36170570109571876,,0.951178216
11,11,53089008,11077999082,0,428234195,5,12th Avenue South,secondary,25 mph,FALSE,FALSE,12.665,"LINESTRING (-122.317235 47.5992058, -122.317235 47.599179, -122.317235 47.5990919)",,,,0,0,0,0,"{'Narcotics': {'count': 26, 'last_at': '2025-07-25 17:49:00'}, 'Property Offenses': {'count': 5, 'last_at': '2025-07-23 17:45:00'}, 'Larceny': {'count': 5, 'last_at': '2025-06-27 17:54:00'}, 'Aggravated Assault': {'count': 4, 'last_at': '2025-06-30 16:54:00'}, 'Weapon Law Violation': {'count': 3, 'last_at': '2025-06-05 09:43:00'}, 'Assault': {'count': 2, 'last_at': '2025-07-23 17:45:00'}, 'Disorderly Conduct': {'count': 1, 'last_at': '2024-12-11 11:59:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-29 06:35:00'}, 'Robbery': {'count': 1, 'last_at': '2024-10-16 12:00:00'}}","{'Aggravated Assault': {'count': 6, 'last_at': '2025-06-07 20:00:00'}, 'Weapon Law Violation': {'count': 4, 'last_at': '2025-07-11 21:39:00'}, 'Robbery': {'count': 3, 'last_at': '2024-12-19 20:43:00'}, 'Narcotics': {'count': 3, 'last_at': '2025-07-27 19:40:00'}, 'Motor Vehicle Theft': {'count': 2, 'last_at': '2024-10-26 19:00:00'}, 'Assault': {'count': 2, 'last_at': '2025-06-01 19:46:00'}, 'Larceny': {'count': 1, 'last_at': '2025-07-01 00:00:00'}, 'Fraud/Bribery': {'count': 1, 'last_at': '2025-05-02 19:40:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-12 01:34:00'}}",0.4523065271263147,0.5649745518509469,0,0,0.5649745518509469,0,0,0.27829634786669344,0.34589716270147275,,0.951647505
12,12,53089008,11077999081,0,739874553,5,12th Avenue South,secondary,25 mph,FALSE,TRUE,12.067,"LINESTRING (-122.317235 47.5992058, -122.317234 47.5992341, -122.317232 47.5993143)",,,,0,0,0,0,"{'Narcotics': {'count': 26, 'last_at': '2025-07-25 17:49:00'}, 'Property Offenses': {'count': 5, 'last_at': '2025-07-23 17:45:00'}, 'Larceny': {'count': 5, 'last_at': '2025-06-27 17:54:00'}, 'Aggravated Assault': {'count': 4, 'last_at': '2025-06-30 16:54:00'}, 'Weapon Law Violation': {'count': 3, 'last_at': '2025-06-05 09:43:00'}, 'Assault': {'count': 2, 'last_at': '2025-07-23 17:45:00'}, 'Disorderly Conduct': {'count': 1, 'last_at': '2024-12-11 11:59:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-29 06:35:00'}, 'Robbery': {'count': 1, 'last_at': '2024-10-16 12:00:00'}}","{'Aggravated Assault': {'count': 6, 'last_at': '2025-06-07 20:00:00'}, 'Weapon Law Violation': {'count': 4, 'last_at': '2025-07-11 21:39:00'}, 'Robbery': {'count': 3, 'last_at': '2024-12-19 20:43:00'}, 'Narcotics': {'count': 3, 'last_at': '2025-07-27 19:40:00'}, 'Motor Vehicle Theft': {'count': 2, 'last_at': '2024-10-26 19:00:00'}, 'Assault': {'count': 2, 'last_at': '2025-06-01 19:46:00'}, 'Larceny': {'count': 1, 'last_at': '2025-07-01 00:00:00'}, 'Fraud/Bribery': {'count': 1, 'last_at': '2025-05-02 19:40:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-12 01:34:00'}}",0.47072419259411846,0.5869859569666843,0,0,0.5869859569666843,0,0,0.3055185753807922,0.3752756340043317,,0.900497194
13,13,53089011,3535107360,0,332223494,2,South Jackson Street,secondary,25 mph,FALSE,FALSE,18.79,"LINESTRING (-122.3141443 47.5992077, -122.3138937 47.5992072)",,,,0.8061606593720188,0.6365577832305287,0.6607837726642303,0.5590220469793362,"{'Narcotics': {'count': 2, 'last_at': '2025-04-14 17:08:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-30 08:57:00'}, 'Larceny': {'count': 1, 'last_at': '2025-05-06 06:00:00'}}","{'Weapon Law Violation': {'count': 1, 'last_at': '2024-09-08 03:24:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-31 04:11:00'}, 'DUI': {'count': 1, 'last_at': '2024-11-09 21:22:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-05-19 20:53:00'}, 'Assault': {'count': 1, 'last_at': '2025-06-20 00:23:00'}}",0.9251788513786738,0.7551060106859852,0,0.6365577832305287,0.7551060106859852,0.6607837726642303,0.5590220469793362,0.8272212556530679,0.7251775512374546,,0.957611963
14,14,53089011,7731894482,0,333370566,5,South Jackson Street,secondary,25 mph,FALSE,TRUE,21.095,"LINESTRING (-122.3141443 47.5992077, -122.3144256 47.5992045)",,,,0.8273410187058654,0.7445130567586531,0.7251462414093266,0.6754494642409993,"{'Narcotics': {'count': 2, 'last_at': '2025-04-14 17:08:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-30 08:57:00'}, 'Larceny': {'count': 1, 'last_at': '2025-05-06 06:00:00'}}","{'Aggravated Assault': {'count': 1, 'last_at': '2025-05-31 04:11:00'}, 'DUI': {'count': 1, 'last_at': '2024-11-09 21:22:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-05-19 20:53:00'}, 'Assault': {'count': 1, 'last_at': '2025-06-20 00:23:00'}}",0.9157176054887287,0.7610000298270687,0,0.7445130567586531,0.7610000298270687,0.7251462414093266,0.6754494642409993,0.8201176174195561,0.7272870720225602,,0.910402968
15,15,53089011,2507633630,0,428247254,3,Rainier Avenue South,secondary,25 mph,FALSE,TRUE,21.931,"LINESTRING (-122.3141443 47.5992077, -122.3139214 47.59908)",,,,0.833922703,0.6886106765264526,0.709366973,0.6221797575460182,"{'Narcotics': {'count': 2, 'last_at': '2025-04-14 17:08:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-30 08:57:00'}, 'Larceny': {'count': 1, 'last_at': '2025-05-06 06:00:00'}}","{'Weapon Law Violation': {'count': 1, 'last_at': '2024-09-08 03:24:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-31 04:11:00'}, 'DUI': {'count': 1, 'last_at': '2024-11-09 21:22:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-05-19 20:53:00'}, 'Assault': {'count': 1, 'last_at': '2025-06-20 00:23:00'}}",0.9234979302889421,0.7693381336230174,0,0.6886106765264526,0.7693381336230174,0.709366973,0.6221797575460182,0.831233184,0.7387373057385942,,0.861421532
16,16,53089011,7404294435,0,792010739,2,Rainier Avenue South,secondary,25 mph,FALSE,FALSE,17.824,"LINESTRING (-122.3141443 47.5992077, -122.3140629 47.5990571)",,,,0.7956552283213775,0.6168604548306572,0.6423994102536403,0.5351225461592082,"{'Narcotics': {'count': 2, 'last_at': '2025-04-14 17:08:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-30 08:57:00'}, 'Larceny': {'count': 1, 'last_at': '2025-05-06 06:00:00'}}","{'Weapon Law Violation': {'count': 1, 'last_at': '2024-09-08 03:24:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-31 04:11:00'}, 'DUI': {'count': 1, 'last_at': '2024-11-09 21:22:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-05-19 20:53:00'}, 'Assault': {'count': 1, 'last_at': '2025-06-20 00:23:00'}}",0.9206224551877893,0.7698094558343453,0.056104129,0.6237821385697804,0.778447354,0.6423994102536403,0.5351225461592082,0.8285462375215275,0.738058438,,0.746829632
17,17,53089011,3535107368,0,6405076,1,14th Avenue South,tertiary,25 mph,FALSE,FALSE,17.93,"LINESTRING (-122.3141443 47.5992077, -122.3141386 47.599298, -122.3141342 47.5993688)",,,,0.7968632899944357,0.699414553,0.6766291111282625,0.6181598688323413,"{'Narcotics': {'count': 2, 'last_at': '2025-04-14 17:08:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-30 08:57:00'}, 'Larceny': {'count': 1, 'last_at': '2025-05-06 06:00:00'}}","{'Aggravated Assault': {'count': 1, 'last_at': '2025-05-31 04:11:00'}, 'DUI': {'count': 1, 'last_at': '2024-11-09 21:22:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-05-19 20:53:00'}, 'Assault': {'count': 1, 'last_at': '2025-06-20 00:23:00'}}",0.9247823578828834,0.7245675289123419,0,0.699414553,0.7245675289123419,0.6766291111282625,0.6181598688323413,0.8146093694478201,0.6944804720654952,,0
18,18,53089011,2507633641,0,347092907,5,Boren Avenue South,secondary,25 mph,FALSE,TRUE,26.095,"LINESTRING (-122.3141443 47.5992077, -122.3142 47.5992483, -122.314257 47.599285, -122.314303 47.5993149, -122.314322 47.5993264, -122.314397 47.5993687)",,,,0.86042379,0.7934662936318753,0.7778103070522991,0.7376358094716948,"{'Narcotics': {'count': 2, 'last_at': '2025-04-14 17:08:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-05-30 08:57:00'}, 'Larceny': {'count': 1, 'last_at': '2025-05-06 06:00:00'}}","{'Aggravated Assault': {'count': 1, 'last_at': '2025-05-31 04:11:00'}, 'DUI': {'count': 1, 'last_at': '2024-11-09 21:22:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-05-19 20:53:00'}, 'Assault': {'count': 1, 'last_at': '2025-06-20 00:23:00'}}",0.922351516,0.7338651729638104,0,0.7934662936318753,0.7338651729638104,0.7778103070522991,0.7376358094716948,0.8158975853461532,0.702805779,,0.782032705
19,19,53089013,11078065683,0,6506833,2,16th Avenue South,residential,20 mph,FALSE,FALSE,9.04,"LINESTRING (-122.3115837 47.5992288, -122.311583 47.5991475)",,,,0.9799183718901613,0.5699812667806432,0.8079108786024185,0.5619486155367077,"{'Larceny': {'count': 1, 'last_at': '2025-05-16 16:00:00'}}","{'Narcotics': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'DUI': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'Larceny': {'count': 1, 'last_at': '2024-12-31 00:12:00'}, 'Burglary': {'count': 1, 'last_at': '2025-06-16 04:00:00'}}",0.9802338461596997,0.9015166605551364,0,0.5699812667806432,0.9015166605551364,0.8079108786024185,0.5619486155367077,0.9408405103817542,0.8936101990190162,,0.852641569
20,20,53089013,11078065684,0,6506833,2,16th Avenue South,residential,20 mph,FALSE,TRUE,10.375,"LINESTRING (-122.3115837 47.5992288, -122.3115845 47.5993221)",,,,0.9825023693385115,0.6253137977539291,0.8326278884400832,0.6183147454893337,"{'Larceny': {'count': 1, 'last_at': '2025-05-16 16:00:00'}}","{'Narcotics': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'DUI': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'Larceny': {'count': 1, 'last_at': '2024-12-31 00:12:00'}, 'Burglary': {'count': 1, 'last_at': '2025-06-16 04:00:00'}}",0.9841924781381769,0.9103676774753771,0.096385542,0.6373680396383422,0.9279169339086373,0.8326278884400832,0.6183147454893337,0.9483395491283277,0.9040446687306478,,0.588714294
21,21,53089013,11078065685,0,22760519,2,South Jackson Street,secondary,25 mph,FALSE,FALSE,8.008,"LINESTRING (-122.3115837 47.5992288, -122.3114769 47.5992291)",,,,0.9773304298060761,0.5145642671949318,0.7831561366840488,0.5054964391173622,"{'Larceny': {'count': 1, 'last_at': '2025-05-16 16:00:00'}}","{'Narcotics': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'DUI': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'Larceny': {'count': 1, 'last_at': '2024-12-31 00:12:00'}, 'Burglary': {'count': 1, 'last_at': '2025-06-16 04:00:00'}}",0.9826702157383191,0.9062357247897554,0,0.5145642671949318,0.9062357247897554,0.7831561366840488,0.5054964391173622,0.9451645056542213,0.8993038110850831,,0.800492036
22,22,53089013,5440514362,0,332223494,2,South Jackson Street,secondary,25 mph,FALSE,TRUE,21.018,"LINESTRING (-122.3115837 47.5992288, -122.311864 47.5992269)",,,,0.9913627405979188,0.8150457061422121,0.9173810230548036,0.8115908023813796,"{'Larceny': {'count': 1, 'last_at': '2025-05-16 16:00:00'}}","{'Narcotics': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'DUI': {'count': 1, 'last_at': '2025-06-16 22:14:00'}, 'Larceny': {'count': 1, 'last_at': '2024-12-31 00:12:00'}, 'Burglary': {'count': 1, 'last_at': '2025-06-16 04:00:00'}}",0.9817227632233626,0.9083521821048831,0,0.8150457061422121,0.9083521821048831,0.9173810230548036,0.8115908023813796,0.9450636360653158,0.9010412873942282,,0.72099562
23,23,53107154,11061356813,0,6458014,2,15th Avenue South,residential,20 mph,FALSE,FALSE,9.096,"LINESTRING (-122.3128855 47.6016911, -122.312885 47.6016093)",,,,1,1,1,1,{},{},0.9898521576210488,0.9273956318113814,0.10993843447669305,1,0.9477869165917547,1,1,0.9608104103456014,0.923336495,,0
24,24,53107154,11061356810,0,256996971,2,East Yesler Way,tertiary,25 mph,FALSE,TRUE,7.535,"LINESTRING (-122.3128855 47.6016911, -122.312986 47.6016915)",,,,1,1,1,1,{},{},0.9898306658069754,0.9276751703426243,0,1,0.9276751703426243,1,1,0.9609007339440251,0.9236074366654144,,0.538091096
25,25,53107154,11061356811,0,256996974,2,East Yesler Way,tertiary,25 mph,FALSE,FALSE,8.735,"LINESTRING (-122.3128855 47.6016911, -122.312769 47.6016911)",,,,1,1,1,1,{},{},0.9898385413604068,0.9244766843505915,0,1,0.9244766843505915,1,1,0.9596292151006435,0.9204121008947542,,0.137515904
