u,v,key,osmid,highway,oneway,reversed,length,lanes,maxspeed,name,access,service,geometry,bridge,tunnel,ref
281299349,281299348,0,51476457,footway,False,True,18.217393847551097,,,,,,"LINESTRING (-122.332435 47.6218086, -122.3324901 47.6218431, -122.3325524 47.6218464, -122.3326501 47.6218198)",,,
281299350,5767146003,0,25790548,footway,False,False,45.595967712625026,,,,,,"LINESTRING (-122.3323618 47.6217319, -122.3324873 47.6216615, -122.3325583 47.6215839, -122.332606 47.6214881, -122.332638 47.6213825)",,,
281299350,12900449373,0,25790548,footway,False,True,12.102448334096865,,,,,,"LINESTRING (-122.3323618 47.6217319, -122.3323036 47.6217544, -122.3322256 47.6217722, -122.3322142 47.6217748)",,,
281299350,281299349,0,51476457,footway,False,True,10.148638006978173,,,,,,"LINESTRING (-122.3323618 47.6217319, -122.3323869 47.6217614, -122.332435 47.6218086)",,,
281299467,5767146028,0,25790548,footway,False,True,15.136809576759628,,,,,,"LINESTRING (-122.3319778 47.6217997, -122.3318419 47.6219004)",,,
281299467,12900449373,0,25790548,footway,False,False,17.98655274440044,,,,,,"LINESTRING (-122.3319778 47.6217997, -122.3321763 47.6217835, -122.3322142 47.6217748)",,,
281299467,281300306,0,25790634,footway,False,True,14.700483997480134,,,,,,"LINESTRING (-122.3319778 47.6217997, -122.3319029 47.6217591, -122.3318905 47.6216922)",,,
281299501,281299348,0,25790590,footway,False,True,33.93306620934641,,,,,,"LINESTRING (-122.3327842 47.6215355, -122.3327918 47.6215532, -122.3327858 47.6215783, -122.3326747 47.6217282, -122.3326516 47.6217838, -122.3326501 47.6218198)",,,
281299501,5767146003,0,25790600,footway,False,True,20.95313760864358,,,,,,"LINESTRING (-122.3327842 47.6215355, -122.3327124 47.6214581, -122.3326825 47.621398, -122.332638 47.6213825)",,,
281300306,10650694442,0,25790634,footway,False,True,4.41053325175251,,,,,,"LINESTRING (-122.3318905 47.6216922, -122.3318317 47.6216906)",,,
281300306,281299467,0,25790634,footway,False,False,14.700483997480134,,,,,,"LINESTRING (-122.3318905 47.6216922, -122.3319029 47.6217591, -122.3319778 47.6217997)",,,
281300306,281298223,0,898636226,footway,False,False,77.26772671447364,,,,,,"LINESTRING (-122.3318905 47.6216922, -122.3318799 47.6213397, -122.3319389 47.6212954, -122.3323578 47.621311)",,,
281337564,9813032912,0,25793169,footway,False,False,27.945737204098897,,,,,,"LINESTRING (-122.3245591 47.6005807, -122.3247096 47.600728, -122.3248057 47.6007604)",,,
281337564,9813032904,0,25793169,footway,False,True,18.396937266106715,,,,,,"LINESTRING (-122.3245591 47.6005807, -122.3244471 47.6005023, -122.3243972 47.6004568)",,,
281337564,9813032900,0,25832867,footway,False,True,17.143859632445196,,,,,,"LINESTRING (-122.3245591 47.6005807, -122.3246512 47.600582, -122.3247358 47.6006164, -122.3247711 47.6006254)",,,
281772703,5321322333,0,25793169,footway,False,False,21.93544540642245,,,,,,"LINESTRING (-122.3254699 47.6014933, -122.325556 47.6015069, -122.3255935 47.6016422)",,,
281772703,5769007061,0,25793169,footway,False,True,83.76407832664738,,,,,,"LINESTRING (-122.3254699 47.6014933, -122.3254028 47.6014182, -122.3252041 47.6013044, -122.3249466 47.6010497, -122.3250071 47.6009074, -122.3249921 47.6008754)",,,
281773661,8010563604,0,859379960,footway,False,False,111.60619230016688,,,,,,"LINESTRING (-122.3254285 47.6001132, -122.32394 47.6001125)",,,
281773661,10755129269,0,859379960,footway,False,True,57.658837704996515,,,,,,"LINESTRING (-122.3254285 47.6001132, -122.3261975 47.6001137)",,,
281773664,9813032910,0,1069060433,footway,False,True,10.331486658052883,,,,,,"LINESTRING (-122.3245475 47.6002878, -122.3244098 47.6002844)",,,
281773664,10755130207,0,733780614,footway,False,False,73.66762698280095,,,,,,"LINESTRING (-122.3245475 47.6002878, -122.3246081 47.6002075, -122.3248476 47.6002479, -122.325102 47.6003351, -122.3252199 47.6003471, -122.3253569 47.6003781, -122.3254029 47.6003957)",,,
281773664,9813032890,0,733780614,footway,False,True,44.039415297866526,,,,,,"LINESTRING (-122.3245475 47.6002878, -122.3250067 47.6004652, -122.325061 47.6004792)",,,
283477833,3354858153,0,25985262,footway,False,True,4.192530985961631,,,,,,"LINESTRING (-122.3323611 47.6211216, -122.332417 47.621123)",,,
283477833,3354858139,0,328667748,footway,False,False,15.2460913726441,,,,,,"LINESTRING (-122.3323611 47.6211216, -122.3323585 47.6209845)",,,
283477833,5767145982,0,608794030,footway,False,True,9.630150491018547,,,,,,"LINESTRING (-122.3323611 47.6211216, -122.3323596 47.6212082)",,,
283477833,283477838,0,608794030,footway,False,False,22.044875762035986,,,,,,"LINESTRING (-122.3323611 47.6211216, -122.3322983 47.6211292, -122.3322964 47.6210907, -122.3322834 47.6210605, -122.3322319 47.6210212, -122.3322176 47.6209898)",,,
283477838,3354858139,0,328667749,footway,False,True,10.57674957994525,,,,,,"LINESTRING (-122.3322176 47.6209898, -122.3323585 47.6209845)",,,
283477838,283477839,0,608794030,footway,False,False,11.262958777690567,,,,,,"LINESTRING (-122.3322176 47.6209898, -122.332201 47.6209628, -122.332161 47.6209438, -122.3321067 47.6209301)",,,
283477838,283477833,0,608794030,footway,False,True,22.044875762035986,,,,,,"LINESTRING (-122.3322176 47.6209898, -122.3322319 47.6210212, -122.3322834 47.6210605, -122.3322964 47.6210907, -122.3322983 47.6211292, -122.3323611 47.6211216)",,,
283477839,5767146556,0,608794030,footway,False,False,3.824610443901973,,,,,,"LINESTRING (-122.3321067 47.6209301, -122.3321105 47.6208958)",,,
283477839,283479761,0,25985236,footway,False,True,11.565584487557036,,,,,,"LINESTRING (-122.3321067 47.6209301, -122.3320954 47.6209644, -122.3320541 47.6210274)",,,
283477839,283477838,0,608794030,footway,False,True,11.26295877769057,,,,,,"LINESTRING (-122.3321067 47.6209301, -122.332161 47.6209438, -122.332201 47.6209628, -122.3322176 47.6209898)",,,
283479760,5767145994,0,608794048,footway,False,True,18.30654680447279,,,,,,"LINESTRING (-122.3318191 47.6210594, -122.3318241 47.6208948)",,,
283479760,283479761,0,25985236,footway,False,False,18.065327960721905,,,,,,"LINESTRING (-122.3318191 47.6210594, -122.3318478 47.6210538, -122.3318808 47.6210472, -122.3319335 47.6210364, -122.3320106 47.6210278, -122.3320541 47.6210274)",,,
283479760,10650694442,0,608794048,footway,False,False,70.37465091216364,,,,,,"LINESTRING (-122.3318191 47.6210594, -122.3318198 47.6212813, -122.3318307 47.6212964, -122.3318317 47.6216906)",,,
283479761,2513547685,0,243999114,footway,False,False,5.385896316626525,,,,,,"LINESTRING (-122.3320541 47.6210274, -122.3320345 47.621074)",,,
283479761,5767145994,0,608794032,footway,False,True,22.683866739447183,,,,,,"LINESTRING (-122.3320541 47.6210274, -122.3318241 47.6208948)",,,
283479761,283477839,0,25985236,footway,False,False,11.565584487557036,,,,,,"LINESTRING (-122.3320541 47.6210274, -122.3320954 47.6209644, -122.3321067 47.6209301)",,,
283479761,283479760,0,25985236,footway,False,True,18.065327960721905,,,,,,"LINESTRING (-122.3320541 47.6210274, -122.3320106 47.6210278, -122.3319335 47.6210364, -122.3318808 47.6210472, -122.3318478 47.6210538, -122.3318191 47.6210594)",,,
283480454,5767145983,0,25985262,footway,False,True,4.390522776918085,,,,,,"LINESTRING (-122.3325479 47.6211359, -122.3326058 47.6211419)",,,
283480454,3354858153,0,25985262,footway,False,False,9.961673032997794,,,,,,"LINESTRING (-122.3325479 47.6211359, -122.3324924 47.6211261, -122.332417 47.621123)",,,
283480454,3354858144,0,328667750,footway,False,True,22.796415276666607,,,,,,"LINESTRING (-122.3325479 47.6211359, -122.3325665 47.6211074, -122.3326316 47.6210997, -122.3326628 47.6211199, -122.332712 47.6210744, -122.3326707 47.6210405)",,,
288361105,289188680,0,26320392,footway,False,False,11.435026326809576,,,,,,"LINESTRING (-122.3316724 47.5967422, -122.3315199 47.5967422)",,,
288361105,10764829783,0,"[383961532, 26320391]",footway,False,False,8.151578399263743,,,,,,"LINESTRING (-122.3316724 47.5967422, -122.3316725 47.5967563, -122.331671 47.5968155)",,,
288361105,11848590100,0,26320392,footway,False,True,42.673414776352935,,,,,,"LINESTRING (-122.3316724 47.5967422, -122.3322358 47.5967423, -122.3322415 47.5967424)",,,
288361108,9056759873,0,383961533,footway,False,True,74.27880641487194,,,,,,"LINESTRING (-122.3317395 47.5982034, -122.3317431 47.5975354)",,,
288361108,7803841255,0,978803382,footway,False,True,1.3798422310426277,,,,,,"LINESTRING (-122.3317395 47.5982034, -122.3317579 47.5982036)",,,
288361108,7803841252,0,"[362440532, 978803382, 978803383]",footway,False,False,20.762885745412945,,,,,,"LINESTRING (-122.3317395 47.5982034, -122.3316811 47.5982031, -122.331594 47.5982034, -122.33151 47.5982037, -122.3314626 47.598204)",,,
288361119,289188677,0,26320392,footway,False,False,20.493310754890697,,,,,,"LINESTRING (-122.3328639 47.5967438, -122.3325906 47.5967429)",,,
288361119,289188686,0,836091421,footway,False,False,17.340221877093747,,,,,,"LINESTRING (-122.3328639 47.5967438, -122.3329611 47.5966023)",,,
288361119,12631818374,0,836091421,footway,False,True,80.80838307318135,,,,,,"LINESTRING (-122.3328639 47.5967438, -122.3329153 47.5968469, -122.3330831 47.5970579, -122.3331192 47.5971032, -122.3331212 47.5974303)",,,
288361119,3666685378,0,1233743292,footway,False,False,9.3492954158164,,,,,,"LINESTRING (-122.3328639 47.5967438, -122.3328315 47.5967855, -122.3328061 47.5968183)",,,
