Offense ID,Offense Date,Latitude,Longitude,Offense DateTime,Offense Type,Crime Score,Hour
64530049466,06/15/2025 12:00:00 AM,47.61470459,-122.344793519073,2025-06-15 00:00:00,Robbery,8.0,0
61408088396,12/04/2024 02:30:00 AM,47.60960404,-122.329221099999,2024-12-04 02:30:00,Larceny,4.0,2
58858451193,08/27/2024 07:00:00 PM,47.61931579,-122.322196399378,2024-08-27 19:00:00,Burglary,4.0,19
58532282209,08/22/2024 07:00:00 PM,47.61669824,-122.342214370751,2024-08-22 19:00:00,Larceny,4.0,19
58873025376,09/06/2024 08:00:00 PM,47.62152468,-122.356733898274,2024-09-06 20:00:00,Larceny,4.0,20
62810815775,02/14/2025 07:15:00 PM,47.60978174,-122.339358064369,2025-02-14 19:15:00,Larceny,4.0,19
62231014528,01/11/2025 01:17:00 AM,47.60933797,-122.325139077453,2025-01-11 01:17:00,DUI,5.0,1
63207352087,03/16/2025 12:00:00 AM,47.60172211,-122.334038699999,2025-03-16 00:00:00,Larceny,4.0,0
57803440861,07/19/2024 11:22:00 PM,47.61283437,-122.342622657945,2024-07-19 23:22:00,Narcotics,6.0,23
63661868860,04/22/2025 12:00:00 AM,47.60478099,-122.319411924732,2025-04-22 00:00:00,Burglary,4.0,0
57692071884,07/13/2024 07:45:00 PM,47.60957018,-122.32458389147,2024-07-13 19:45:00,Burglary,4.0,19
63347539273,03/26/2025 05:00:00 AM,47.610873,-122.325008,2025-03-26 05:00:00,Larceny,4.0,5
63088028151,03/04/2025 09:00:00 PM,47.61464614,-122.322120424724,2025-03-04 21:00:00,Larceny,4.0,21
64110375204,05/23/2025 09:53:00 PM,47.61061932,-122.340897759753,2025-05-23 21:53:00,Weapon Law Violation,5.0,21
62438330390,01/24/2025 08:42:00 PM,47.60312653,-122.331735384227,2025-01-24 20:42:00,Larceny,4.0,20
62992620225,03/04/2025 04:33:00 AM,47.61222186,-122.344562693641,2025-03-04 04:33:00,Burglary,4.0,4
63458732552,04/01/2025 12:00:00 AM,47.60085706,-122.321268859656,2025-04-01 00:00:00,Larceny,4.0,0
60767902176,11/08/2024 12:00:00 AM,47.60046424,-122.330807500386,2024-11-08 00:00:00,Larceny,4.0,0
62205693684,01/09/2025 12:50:00 AM,47.61990297,-122.321539446993,2025-01-09 00:50:00,Narcotics,6.0,0
