Offense ID,Offense Date,Latitude,Longitude,Offense DateTime,Offense Type,Crime Score,Hour
64545481997,06/16/2025 05:19:00 PM,47.61194161,-122.34607236256,2025-06-16 17:19:00,Larceny,4.0,17
59366813644,09/16/2024 07:20:00 AM,47.61283437,-122.342622652547,2024-09-16 07:20:00,Property Offenses,4.0,7
61001036557,11/26/2024 05:04:00 PM,47.61134853,-122.341102346783,2024-11-26 17:04:00,Aggravated Assault,10.0,17
62008915476,12/25/2024 02:42:00 PM,47.60003504,-122.328314211901,2024-12-25 14:42:00,Assault,8.0,14
62890885818,02/23/2025 07:30:00 AM,47.608989,-122.33633,2025-02-23 07:30:00,Burglary,4.0,7
62937041323,02/26/2025 10:38:00 AM,47.60928514,-122.338903688909,2025-02-26 10:38:00,Fraud/Bribery,2.0,10
57707783356,07/17/2024 01:53:00 PM,47.61351952,-122.320771372479,2024-07-17 13:53:00,Narcotics,6.0,13
60139723888,10/20/2024 11:36:00 AM,47.61010309,-122.341557683426,2024-10-20 11:36:00,Larceny,4.0,11
59880057227,10/04/2024 02:00:00 PM,47.62175679,-122.347594422582,2024-10-04 14:00:00,Larceny,4.0,14
59754907769,09/30/2024 02:56:00 PM,47.61327122,-122.344353398663,2024-09-30 14:56:00,Narcotics,6.0,14
62260012829,01/11/2025 08:00:00 AM,47.60312963,-122.336341521334,2025-01-11 08:00:00,Larceny,4.0,8
58827707377,09/07/2024 06:35:00 AM,47.61409149,-122.324986088414,2024-09-07 06:35:00,Burglary,4.0,6
62066090240,12/27/2024 09:30:00 AM,47.59919832,-122.329977162826,2024-12-27 09:30:00,Larceny,4.0,9
64378435827,06/06/2025 03:00:00 PM,47.62197914,-122.327867178916,2025-06-06 15:00:00,Larceny,4.0,15
60262065456,10/29/2024 10:41:00 AM,47.61428795,-122.336154767623,2024-10-29 10:41:00,Property Offenses,4.0,10
60199852938,10/24/2024 02:00:00 PM,47.60782816,-122.339105334506,2024-10-24 14:00:00,Motor Vehicle Theft,3.0,14
63961090907,05/09/2025 08:45:00 AM,47.60282129,-122.324212092973,2025-05-09 08:45:00,Larceny,4.0,8
57993284616,07/31/2024 04:01:00 PM,47.60169934,-122.320159529658,2024-07-31 16:01:00,Assault,8.0,16
62028089328,12/27/2024 09:25:00 AM,47.61465549,-122.320789509853,2024-12-27 09:25:00,Larceny,4.0,9
62197571069,01/06/2025 12:00:00 PM,47.62031869,-122.346301269507,2025-01-06 12:00:00,Larceny,4.0,12
62455547510,01/26/2025 02:00:00 PM,47.62029156,-122.348133594629,2025-01-26 14:00:00,Larceny,4.0,14
63109050291,03/06/2025 04:00:00 PM,47.599625,-122.334187,2025-03-06 16:00:00,Larceny,4.0,16
62394674542,01/21/2025 04:15:00 PM,47.62196996,-122.331070199999,2025-01-21 16:15:00,Burglary,4.0,16
63090886203,03/07/2025 08:20:00 AM,47.59738019,-122.334191719084,2025-03-07 08:20:00,Burglary,4.0,8
60146328831,10/09/2024 06:30:00 AM,47.61266535,-122.33739360373512,2024-10-09 06:30:00,Larceny,4.0,6
63613153453,04/06/2025 12:26:00 PM,47.623269,-122.354762,2025-04-06 12:26:00,Larceny,4.0,12
62234255976,01/11/2025 05:27:00 PM,47.59962453,-122.334186482323,2025-01-11 17:27:00,Assault,8.0,17
62001826144,12/24/2024 02:00:00 PM,47.61145275,-122.3432623,2024-12-24 14:00:00,Motor Vehicle Theft,3.0,14
57753500219,07/17/2024 08:21:00 AM,47.61180942,-122.347398144837,2024-07-17 08:21:00,Burglary,4.0,8
60825761574,11/12/2024 11:55:00 AM,47.62024434,-122.330420399999,2024-11-12 11:55:00,Larceny,4.0,11
64090396354,05/21/2025 09:25:00 AM,47.60241241,-122.331082200967,2025-05-21 09:25:00,Larceny,4.0,9
63206712647,03/14/2025 04:52:00 PM,47.61393605,-122.327819181327,2025-03-14 16:52:00,Larceny,4.0,16
64262500765,05/29/2025 07:30:00 AM,47.61730888,-122.35316864357,2025-05-29 07:30:00,Burglary,4.0,7
60999564750,11/24/2024 01:00:00 PM,47.60002778,-122.323746734427,2024-11-24 13:00:00,Larceny,4.0,13
64368743947,06/06/2025 04:35:00 PM,47.61432035,-122.344143639668,2025-06-06 16:35:00,Trespass,1.0,16
62763373443,11/04/2024 01:00:00 PM,47.61323361,-122.329469064351,2024-11-04 13:00:00,Larceny,4.0,13
60818871028,11/13/2024 11:00:00 AM,47.61603294,-122.343074952492,2024-11-13 11:00:00,Larceny,4.0,11
64580644002,06/14/2025 12:00:00 PM,47.62369897,-122.320933335135,2025-06-14 12:00:00,Motor Vehicle Theft,3.0,12
57953790406,07/28/2024 07:19:00 AM,47.61508874,-122.345443944803,2024-07-28 07:19:00,Assault,8.0,7
62830074691,02/18/2025 10:20:00 AM,47.61132124,-122.337320399999,2025-02-18 10:20:00,Robbery,8.0,10
62082378671,01/01/2025 02:46:00 PM,47.61299082,-122.345863108862,2025-01-01 14:46:00,Assault,8.0,14
59983542115,10/07/2024 11:10:00 AM,47.61488028,-122.34112428185,2024-10-07 11:10:00,Larceny,4.0,11
60779822580,11/05/2024 09:00:00 AM,47.62369897,-122.320933299999,2024-11-05 09:00:00,Larceny,4.0,9
62769621948,02/11/2025 09:00:00 AM,47.60291195,-122.334607817427,2025-02-11 09:00:00,Larceny,4.0,9
60198925026,10/24/2024 11:42:00 AM,47.61167652,-122.32190653929,2024-10-24 11:42:00,Property Offenses,4.0,11
60379296337,11/03/2024 02:05:00 PM,47.60951744,-122.338348304267,2024-11-03 14:05:00,Robbery,8.0,14
62179550972,01/06/2025 11:53:00 AM,47.61856415,-122.345841025233,2025-01-06 11:53:00,Larceny,4.0,11
63613121507,04/14/2025 02:30:00 PM,47.62196996,-122.331070199999,2025-04-14 14:30:00,Larceny,4.0,14
59605332406,09/24/2024 05:00:00 PM,47.62151945,-122.355428997233,2024-09-24 17:00:00,Larceny,4.0,17
62209886393,12/22/2024 12:00:00 PM,47.59687305,-122.333266780757,2024-12-22 12:00:00,Larceny,4.0,12
