path_id,zone #,osm_ids,u,v,image_list
3,2,608812661,10706048849,4474752590,"['image_13958', 'image_15847', 'image_9666', 'image_20295', 'image_21456', 'image_23319', 'image_21525', 'image_21760', 'image_26163', 'image_7271']"
3,2,608810479,5767251517,4474752590,"['image_21672', 'image_21456', 'image_7271', 'image_9666']"
3,2,608810476,5767251519,5767251517,"['image_21672', 'image_10937', 'image_21456']"
3,2,608810477,5767251519,5767251518,"['image_792', 'image_1381', 'image_4103']"
3,3,608810483,10699767447,5767251519,"['image_4103', 'image_13259', 'image_3488', 'image_15785', 'image_12186', 'image_10937', 'image_1381', 'image_792', 'image_22185', 'image_24243']"
3,3,1312341387,10699767447,5767251528,"['image_7449', 'image_13259', 'image_28']"
3,3,608810713,5767254763,5767251528,"['image_13546', 'image_1570', 'image_28']"
3,4,608810712,5767254763,5767254762,"['image_13546', 'image_12082', 'image_1570', 'image_28', 'image_18797']"
3,4,608810705,5767254762,5767254755,"['image_13546', 'image_12082', 'image_18797']"
3,4,609349107,5771921496,5767254755,"['image_4425', 'image_13546', 'image_3572', 'image_15388', 'image_15890', 'image_12082', 'image_18797']"
3,4,1213134204,5771925942,5771921496,"['image_4425', 'image_3572', 'image_15388', 'image_15890']"
3,4,"[1213134204, 1213134205]",10699767478,5771925942,"['image_3572', 'image_15450', 'image_12269', 'image_11572', 'image_9622', 'image_19949']"10
4,1,307269357,12828014348,4340440487,"['image_14089', 'image_15836', 'image_16519', 'image_1925', 'image_2576', 'image_12189', 'image_9764', 'image_115', 'image_19344', 'image_20590', 'image_23864', 'image_7657', 'image_18230']"13
4,2,1268858357,12828014348,10897695311,"['image_14364', 'image_22736', 'image_11986', 'image_17176', 'image_19495', 'image_20590', 'image_23864', 'image_7657', 'image_19344']"6
4,2,"[879215161, 1268858357]",12828014386,5767251512,"['image_14258', 'image_13516', 'image_8589', 'image_8989', 'image_9290', 'image_601', 'image_22736', 'image_21533', 'image_25443', 'image_25847']"
4,3,608810480,5767251512,5767210827,"['image_14258', 'image_12479', 'image_8589', 'image_8989', 'image_21533', 'image_25443']"
4,3,"[1150890811, 450556877]",5767251512,474752590,"['image_2906', 'image_3446', 'image_9001', 'image_25122', 'image_26162', 'image_8989', 'image_12479']"
4,4,608810476,5767251519,5767251517,"['image_4103', 'image_13259', 'image_3488', 'image_2906', 'image_10937', 'image_21672', 'image_9666', 'image_1116', 'image_26163']"
4,4,608810477,5767251519,5767251518,"['image_4103', 'image_13259', 'image_3488', 'image_15785', 'image_12186', 'image_1381', 'image_792']"
4,4,608810483,10699767447,5767251519,"['image_4103', 'image_13259', 'image_3488', 'image_15785', 'image_12186', 'image_10937', 'image_1381', 'image_792', 'image_22185', 'image_24243']"
4,4,1312341387,10699767447,5767251528,"['image_13546', 'image_1570', 'image_28', 'image_22185', 'image_24243']"
4,5,608810713,5767254763,5767251528,"['image_13546', 'image_1570', 'image_28']"
4,5,"[651668441, 608810486]",5767251528,5767244461,"['image_1570', 'image_9266', 'image_8343', 'image_14886']"
4,6,"[609349109, 608809286]",5771921498,5767244461,"['image_4366', 'image_12982']"
4,6,609349110,10699635482,5771921498,"['image_16072', 'image_20624', 'image_18363', 'image_25766']"
4,6,609349110,10699635482,5771921497,"['image_12982', 'image_5540', 'image_15705', 'image_12018', 'image_8914', 'image_25766']"
4,6,"[609349108, 1213134205]",10699767478,5771921497,"['image_12269', 'image_9622', 'image_518', 'image_19949', 'image_19176', 'image_9593']"
4,6,"[1213134204, 1213134205]",10699767478,5771925942,"['image_3572', 'image_15450', 'image_12269', 'image_11572', 'image_9622', 'image_19949']"10
