path_id,segments_json
1,"[{""osm_ids"": ""307269357"", ""u"": ""12828014348"", ""v"": ""4340440487""}, {""osm_ids"": ""1268858357"", ""u"": ""12828014348"", ""v"": ""10897695311""}, {""osm_ids"": ""1268858357"", ""u"": ""12828014386"", ""v"": ""10897695311""}, {""osm_ids"": ""[879215161, 1268858357]"", ""u"": ""12828014386"", ""v"": ""5767251512""}, {""osm_ids"": ""608810480"", ""u"": ""5767251512"", ""v"": ""5767210827""}, {""osm_ids"": ""608805278"", ""u"": ""5767210832"", ""v"": ""5767210827""}, {""osm_ids"": ""608805278"", ""u"": ""5767210832"", ""v"": ""5767210827""}, {""osm_ids"": ""608805275"", ""u"": ""5767210832"", ""v"": ""5767210831""}, {""osm_ids"": ""[1312341370, 608808798]"", ""u"": ""12147022606"", ""v"": ""5767210831""}, {""osm_ids"": ""1312341370"", ""u"": ""12147022606"", ""v"": ""12146953279""}, {""osm_ids"": ""[1312341384, 1312341371]"", ""u"": ""12146953279"", ""v"": ""5767251508""}, {""osm_ids"": ""1312341371"", ""u"": ""10699767447"", ""v"": ""5767251508""}, {""osm_ids"": ""1312341387"", ""u"": ""10699767447"", ""v"": ""5767251528""}, {""osm_ids"": ""608810713"", ""u"": ""5767254763"", ""v"": ""5767251528""}, {""osm_ids"": ""608810712"", ""u"": ""5767254763"", ""v"": ""5767254762""}, {""osm_ids"": ""608810705"", ""u"": ""5767254762"", ""v"": ""5767254755""}, {""osm_ids"": ""609349107"", ""u"": ""5771921496"", ""v"": ""5767254755""}, {""osm_ids"": ""1213134204"", ""u"": ""5771925942"", ""v"": ""5771921496""}, {""osm_ids"": ""[1213134204, 1213134205]"", ""u"": ""10699767478"", ""v"": ""5771925942""}]"
2,"[{""osm_ids"": ""[436165689, 307269357, 1385538118]"", ""u"": ""5767288948"", ""v"": ""4340440487""}, {""osm_ids"": ""608816215"", ""u"": ""5767288948"", ""v"": ""4340440477""}, {""osm_ids"": ""436165691"", ""u"": ""4340440477"", ""v"": ""4340440458""}, {""osm_ids"": ""608814080"", ""u"": ""5767275476"", ""v"": ""4340440458""}, {""osm_ids"": ""[1300436422, 1300436423]"", ""u"": ""12045314047"", ""v"": ""5767275476""}, {""osm_ids"": ""[436165671, 436165672, 436165674, 450556878, 608811798]"", ""u"": ""12045314047"", ""v"": ""5767262927""}, {""osm_ids"": ""[996191900, 996191901, 996191902]"", ""u"": ""5767262927"", ""v"": ""5767254767""}, {""osm_ids"": ""608810715"", ""u"": ""5767254767"", ""v"": ""5767251518""}, {""osm_ids"": ""608810477"", ""u"": ""5767251519"", ""v"": ""5767251518""}, {""osm_ids"": ""608810483"", ""u"": ""10699767447"", ""v"": ""5767251519""}, {""osm_ids"": ""1312341387"", ""u"": ""10699767447"", ""v"": ""5767251528""}, {""osm_ids"": ""608810713"", ""u"": ""5767254763"", ""v"": ""5767251528""}, {""osm_ids"": ""608810712"", ""u"": ""5767254763"", ""v"": ""5767254762""}, {""osm_ids"": ""608810705"", ""u"": ""5767254762"", ""v"": ""5767254755""}, {""osm_ids"": ""609349107"", ""u"": ""5771921496"", ""v"": ""5767254755""}, {""osm_ids"": ""1213134204"", ""u"": ""5771925942"", ""v"": ""5771921496""}, {""osm_ids"": ""[1213134204, 1213134205]"", ""u"": ""10699767478"", ""v"": ""5771925942""}]"
3,"[{""osm_ids"": ""[1213134204, 1213134205]"", ""u"": ""10699767478"", ""v"": ""5771925942""}, {""osm_ids"": ""1213134204"", ""u"": ""5771925942"", ""v"": ""5771921496""}, {""osm_ids"": ""[608843297, 608843301, 608843295]"", ""u"": ""5771921496"", ""v"": ""5767473736""}, {""osm_ids"": ""608843306"", ""u"": ""10699767469"", ""v"": ""5767473736""}, {""osm_ids"": ""608843302"", ""u"": ""5767473736"", ""v"": ""5767254754""}, {""osm_ids"": ""608810703"", ""u"": ""5767254761"", ""v"": ""5767254754""}, {""osm_ids"": ""608843304"", ""u"": ""10706048845"", ""v"": ""5767254754""}, {""osm_ids"": ""608843304"", ""u"": ""10706048845"", ""v"": ""5767262916""}, {""osm_ids"": ""608843304"", ""u"": ""5767262916"", ""v"": ""5767262915""}, {""osm_ids"": ""[608811795, 608811790, 608811791]"", ""u"": ""5767262915"", ""v"": ""5767262914""}, {""osm_ids"": ""608842225"", ""u"": ""5767262914"", ""v"": ""5767262913""}, {""osm_ids"": ""[608811794, 608811788, 608811789]"", ""u"": ""5767262913"", ""v"": ""5767262911""}, {""osm_ids"": ""608811781"", ""u"": ""5767262926"", ""v"": ""5767262911""}, {""osm_ids"": ""608811798"", ""u"": ""10706048850"", ""v"": ""5767262926""}, {""osm_ids"": ""608811798"", ""u"": ""10706048850"", ""v"": ""5767262927""}, {""osm_ids"": ""[436165671, 436165672, 436165674, 450556878, 608811798]"", ""u"": ""12045314047"", ""v"": ""5767262927""}, {""osm_ids"": ""[1300436422, 1300436423]"", ""u"": ""12045314047"", ""v"": ""5767275476""}, {""osm_ids"": ""608814080"", ""u"": ""5767275476"", ""v"": ""4340440458""}, {""osm_ids"": ""436165691"", ""u"": ""4340440477"", ""v"": ""4340440458""}, {""osm_ids"": ""608816215"", ""u"": ""5767288948"", ""v"": ""4340440477""}, {""osm_ids"": ""[436165689, 307269357, 1385538118]"", ""u"": ""5767288948"", ""v"": ""4340440487""}]"
4,"[{""osm_ids"": ""307269357"", ""u"": ""12828014348"", ""v"": ""4340440487""}, {""osm_ids"": ""1268858357"", ""u"": ""12828014348"", ""v"": ""10897695311""}, {""osm_ids"": ""1268858357"", ""u"": ""12828014386"", ""v"": ""10897695311""}, {""osm_ids"": ""[879215161, 1268858357]"", ""u"": ""12828014386"", ""v"": ""5767251512""}, {""osm_ids"": ""608810480"", ""u"": ""5767251512"", ""v"": ""5767210827""}, {""osm_ids"": ""608805278"", ""u"": ""5767210832"", ""v"": ""5767210827""}, {""osm_ids"": ""608805275"", ""u"": ""5767210832"", ""v"": ""5767210831""}, {""osm_ids"": ""[1312341370, 608808798]"", ""u"": ""12147022606"", ""v"": ""5767210831""}, {""osm_ids"": ""1312341370"", ""u"": ""12147022606"", ""v"": ""12146953279""}, {""osm_ids"": ""[1312341384, 1312341371]"", ""u"": ""12146953279"", ""v"": ""5767251508""}, {""osm_ids"": ""1312341371"", ""u"": ""10699767447"", ""v"": ""5767251508""}, {""osm_ids"": ""1312341387"", ""u"": ""10699767447"", ""v"": ""5767251528""}, {""osm_ids"": ""608810713"", ""u"": ""5767254763"", ""v"": ""5767251528""}, {""osm_ids"": ""608810712"", ""u"": ""5767254763"", ""v"": ""5767254762""}, {""osm_ids"": ""608810705"", ""u"": ""5767254762"", ""v"": ""5767254755""}, {""osm_ids"": ""609349107"", ""u"": ""5771921496"", ""v"": ""5767254755""}, {""osm_ids"": ""1213134204"", ""u"": ""5771925942"", ""v"": ""5771921496""}, {""osm_ids"": ""[1213134204, 1213134205]"", ""u"": ""10699767478"", ""v"": ""5771925942""}]"
