OBJECTID,YEAR,AMI,RACE,TENURE,AGE,TOTAL,BURDEN30,BURDEN3050,BURDEN50,NODATA,NOBURDEN,PERCENT30,PERCENT3050,PERCENT50,PERCENT_NODATA,PERCENT_NOBURDEN,INCOME,COSTS
2119,2010,50 - 80%,White,Owners,All,13136,7497,4184,3313,0,5639,0.570721680876979,0.318514007308161,0.252207673568819,0,0.429278319123021,43685.4415347138,1361.138
2120,2010,50 - 80%,White,Owners,Seniors,4932,1842,1241,601,0,3090,0.373479318734793,0.251622060016221,0.121857258718573,0,0.626520681265207,42037.4330900243,934.511
2121,2010,50 - 80%,White,Owners,Children,1953,1648,1117,531,0,305,0.843830005120328,0.571940604198669,0.271889400921659,0,0.156169994879672,54355.2483358935,2135.751
2122,2010,50 - 80%,White,Renters,All,22331,10080,9027,1053,0,12251,0.451390443777708,0.404236263490215,0.0471541802874927,0,0.548609556222292,43466.6950427657,1064.687
2123,2010,50 - 80%,White,Renters,Seniors,3131,1363,839,524,0,1768,0.435324177579048,0.267965506228042,0.167358671351006,0,0.564675822420952,39479.9041839668,1040.208
2124,2010,50 - 80%,White,Renters,Children,3860,1685,1550,135,0,2175,0.436528497409326,0.401554404145078,0.0349740932642487,0,0.563471502590674,53581.7461139896,1211.734
2125,2010,50 - 80%,Black,All,All,3537,1604,914,690,0,1933,0.45349165959853,0.258411082838564,0.195080576759966,0,0.54650834040147,43221.7415889172,1365.614
2126,2010,50 - 80%,Black,All,Seniors,396,219,102,117,0,177,0.553030303030303,0.257575757575758,0.295454545454545,0,0.446969696969697,38423.7373737374,1269.475
2127,2010,50 - 80%,Black,All,Children,1186,702,331,371,0,484,0.591905564924115,0.279089376053963,0.312816188870152,0,0.408094435075885,49253.2883642496,1699.126
2128,2010,50 - 80%,Black,Owners,All,1692,1316,626,690,0,376,0.777777777777778,0.369976359338061,0.407801418439716,0,0.222222222222222,46005.6737588652,1868.248
2129,2010,50 - 80%,Black,Owners,Seniors,294,117,0,117,0,177,0.397959183673469,0,0.397959183673469,0,0.602040816326531,38397.2789115646,1245.007
2130,2010,50 - 80%,Black,Owners,Children,826,627,256,371,0,199,0.7590799031477,0.309927360774818,0.449152542372881,0,0.2409200968523,48903.5108958838,1894.798
2131,2010,50 - 80%,Black,Renters,All,1845,288,288,0,0,1557,0.15609756097561,0.15609756097561,0,0,0.84390243902439,40668.6720867209,841.181
2132,2010,50 - 80%,Black,Renters,Seniors,102,102,102,0,0,0,1,1,0,0,0,38500,1340
2133,2010,50 - 80%,Black,Renters,Children,360,75,75,0,0,285,0.208333333333333,0.208333333333333,0,0,0.791666666666667,50055.8333333333,1134
2134,2010,50 - 80%,Native,All,All,208,0,0,0,0,208,0,0,0,0,1,40739.9038461538,702.019
2135,2010,50 - 80%,Native,All,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2136,2010,50 - 80%,Native,All,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2137,2010,50 - 80%,Native,Owners,All,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2138,2010,50 - 80%,Native,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2139,2010,50 - 80%,Native,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2140,2010,50 - 80%,Native,Renters,All,208,0,0,0,0,208,0,0,0,0,1,40739.9038461538,702.019
2141,2010,50 - 80%,Native,Renters,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2142,2010,50 - 80%,Native,Renters,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2143,2010,50 - 80%,Asian,All,All,4670,1274,918,356,0,3396,0.272805139186296,0.196573875802998,0.0762312633832977,0,0.727194860813705,45880.5997858672,1091.728
2144,2010,50 - 80%,Asian,All,Seniors,643,178,0,178,0,465,0.276827371695179,0,0.276827371695179,0,0.723172628304821,44012.66562986,864.991
2145,2010,50 - 80%,Asian,All,Children,887,464,350,114,0,423,0.523111612175874,0.394588500563698,0.128523111612176,0,0.476888387824126,51675.670800451,1200.147
2146,2010,50 - 80%,Asian,Owners,All,2229,849,493,356,0,1380,0.380888290713324,0.221175414984298,0.159712875729026,0,0.619111709286676,49252.5917451772,1269.849
2147,2010,50 - 80%,Asian,Owners,Seniors,562,178,0,178,0,384,0.316725978647687,0,0.316725978647687,0,0.683274021352313,43422.9893238434,858.504
2148,2010,50 - 80%,Asian,Owners,Children,346,114,0,114,0,232,0.329479768786127,0,0.329479768786127,0,0.670520231213873,54752.3699421965,2142.225
2149,2010,50 - 80%,Asian,Renters,All,2441,425,425,0,0,2016,0.174108971732896,0.174108971732896,0,0,0.825891028267104,42801.4641540352,855.122
2150,2010,50 - 80%,Asian,Renters,Seniors,81,0,0,0,0,81,0,0,0,0,1,48104,910
2151,2010,50 - 80%,Asian,Renters,Children,541,350,350,0,0,191,0.646950092421442,0.646950092421442,0,0,0.353049907578558,49707.9482439926,1276.366
2152,2010,50 - 80%,Pacific Islander,All,All,400,126,126,0,0,274,0.315,0.315,0,0,0.685,41260,1042.45
2153,2010,50 - 80%,Pacific Islander,All,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2154,2010,50 - 80%,Pacific Islander,All,Children,274,0,0,0,0,274,0,0,0,0,1,40000,970
2155,2010,50 - 80%,Pacific Islander,Owners,All,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
