Image Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
image_0,0.525,0.17500000000000004,0.44999999999999996,0.725,0.475,0.925,0.95,0.30000000000000004,0.75,0.42500000000000004,0.65,0.975,0.825,0.7,0.8,0.19999999999999996,0.625,0.32499999999999996,0.375,0.25,0.35,0.09999999999999998,0.775,0.050000000000000044,0.875,0.275,0.22499999999999998,0.025000000000000022,0.85,0.4,0.07499999999999996,0.6,0.575,1.0,0.675,0.9,0.55,0.5,0.125,0.15000000000000002
image_1,0.725,0.65,0.6,0.825,0.875,0.975,0.85,0.475,0.675,0.30000000000000004,0.575,0.95,0.925,0.9,1.0,0.125,0.625,0.025000000000000022,0.375,0.22499999999999998,0.4,0.44999999999999996,0.7,0.42500000000000004,0.8,0.35,0.15000000000000002,0.17500000000000004,0.775,0.275,0.07499999999999996,0.19999999999999996,0.32499999999999996,0.25,0.55,0.75,0.525,0.5,0.09999999999999998,0.050000000000000044
image_2,0.4,0.15000000000000002,0.17500000000000004,0.85,0.725,0.975,0.9,0.30000000000000004,0.475,0.125,0.025000000000000022,0.925,0.575,0.32499999999999996,0.825,0.050000000000000044,0.55,0.25,0.19999999999999996,0.07499999999999996,0.625,0.35,0.8,0.09999999999999998,0.44999999999999996,0.22499999999999998,0.875,0.525,0.95,0.375,0.42500000000000004,0.6,0.675,1.0,0.7,0.75,0.5,0.65,0.275,0.775
image_3,0.875,0.44999999999999996,0.7,0.9,0.95,0.925,0.975,0.5,0.775,0.35,0.475,1.0,0.6,0.525,0.825,0.19999999999999996,0.675,0.15000000000000002,0.4,0.050000000000000044,0.42500000000000004,0.07499999999999996,0.85,0.22499999999999998,0.55,0.25,0.32499999999999996,0.17500000000000004,0.8,0.65,0.09999999999999998,0.275,0.30000000000000004,0.75,0.575,0.725,0.375,0.625,0.125,0.025000000000000022
image_4,0.75,0.475,0.525,0.85,0.95,0.925,0.9,0.42500000000000004,0.55,0.6,0.375,1.0,0.7,0.65,0.5,0.15000000000000002,0.44999999999999996,0.19999999999999996,0.4,0.17500000000000004,0.725,0.125,0.675,0.30000000000000004,0.8,0.22499999999999998,0.35,0.275,0.875,0.32499999999999996,0.09999999999999998,0.050000000000000044,0.25,0.975,0.575,0.775,0.625,0.825,0.025000000000000022,0.07499999999999996
image_5,1.0,0.7,0.975,0.875,0.85,0.75,0.9,0.275,0.8,0.17500000000000004,0.475,0.925,0.525,0.375,0.95,0.6,0.725,0.125,0.35,0.30000000000000004,0.42500000000000004,0.050000000000000044,0.55,0.22499999999999998,0.825,0.5,0.19999999999999996,0.07499999999999996,0.625,0.65,0.15000000000000002,0.675,0.775,0.575,0.32499999999999996,0.25,0.44999999999999996,0.4,0.09999999999999998,0.025000000000000022
image_6,0.975,0.625,0.925,0.875,0.75,0.6,0.7,0.375,0.8,0.275,0.775,0.95,1.0,0.85,0.65,0.35,0.675,0.050000000000000044,0.475,0.32499999999999996,0.30000000000000004,0.25,0.575,0.125,0.725,0.22499999999999998,0.15000000000000002,0.17500000000000004,0.825,0.44999999999999996,0.07499999999999996,0.19999999999999996,0.4,0.42500000000000004,0.5,0.525,0.9,0.55,0.09999999999999998,0.025000000000000022
