osmid,y,x,street_count,highway,ref,railway,geometry
9452089643,47.6158473,-122.3426722,1,,,,POINT (-122.3426722 47.6158473)
9452089645,47.61499,-122.3411856,1,,,,POINT (-122.3411856 47.61499)
9452590670,47.6129436,-122.3334403,1,,,,POINT (-122.3334403 47.6129436)
9452590671,47.6128509,-122.3333616,1,,,,POINT (-122.3333616 47.6128509)
9452590672,47.6127693,-122.3335565,1,,,,POINT (-122.3335565 47.6127693)
9452590673,47.6128615,-122.3336397,1,,,,POINT (-122.3336397 47.6128615)
9462185382,47.6226476,-122.3370124,1,,,,POINT (-122.3370124 47.6226476)
9462185383,47.6225921,-122.3371731,1,,,,POINT (-122.3371731 47.6225921)
9462185385,47.6142663,-122.3289288,3,,,,POINT (-122.3289288 47.6142663)
9472759828,47.6060299,-122.3378879,1,,,,POINT (-122.3378879 47.6060299)
9472759829,47.6058324,-122.3380293,4,,,,POINT (-122.3380293 47.6058324)
9472759840,47.6076387,-122.3395639,1,,,,POINT (-122.3395639 47.6076387)
9472759847,47.6077151,-122.3393776,1,,,,POINT (-122.3393776 47.6077151)
9472759852,47.6085336,-122.3405207,4,crossing,,,POINT (-122.3405207 47.6085336)
9472759853,47.6083972,-122.3410356,3,,,,POINT (-122.3410356 47.6083972)
9472759874,47.6090776,-122.341059,4,,,,POINT (-122.341059 47.6090776)
9472759882,47.608397,-122.3413058,4,,,,POINT (-122.3413058 47.608397)
9480154748,47.6079869,-122.320629,3,,,,POINT (-122.320629 47.6079869)
9480171063,47.6124327,-122.318006,3,,,,POINT (-122.318006 47.6124327)
9480171070,47.6121425,-122.3182255,3,,,,POINT (-122.3182255 47.6121425)
9480171073,47.6123205,-122.3182574,3,,,,POINT (-122.3182574 47.6123205)
9480171076,47.61286,-122.3182578,3,,,,POINT (-122.3182578 47.61286)
9480171077,47.6128706,-122.3182398,3,,,,POINT (-122.3182398 47.6128706)
9491797099,47.6014748,-122.3274546,1,,,,POINT (-122.3274546 47.6014748)
9491797101,47.6014723,-122.3276592,1,,,,POINT (-122.3276592 47.6014723)
9491879264,47.596508,-122.3254144,1,,,,POINT (-122.3254144 47.596508)
9491914470,47.6059885,-122.3277439,1,,,,POINT (-122.3277439 47.6059885)
9491914472,47.6062124,-122.3279295,1,,,,POINT (-122.3279295 47.6062124)
9491982246,47.598552,-122.3192034,1,,,,POINT (-122.3192034 47.598552)
9491982247,47.5983482,-122.3192095,3,,,,POINT (-122.3192095 47.5983482)
9498201086,47.6181593,-122.35361,3,,,,POINT (-122.35361 47.6181593)
9498201087,47.6180682,-122.3537184,1,,,,POINT (-122.3537184 47.6180682)
9498201088,47.6185654,-122.3440421,1,,,,POINT (-122.3440421 47.6185654)
9498201090,47.6188153,-122.3437657,1,,,,POINT (-122.3437657 47.6188153)
9498201091,47.620565,-122.34501,1,,,,POINT (-122.34501 47.620565)
9498201093,47.6205641,-122.3443474,3,,,,POINT (-122.3443474 47.6205641)
9498201094,47.6203491,-122.3567558,1,,,,POINT (-122.3567558 47.6203491)
9498201096,47.6203509,-122.3570906,1,,,,POINT (-122.3570906 47.6203509)
9498201097,47.618946,-122.355942,1,,,,POINT (-122.355942 47.618946)
9498201098,47.6189496,-122.3560991,3,,,,POINT (-122.3560991 47.6189496)
9498201099,47.6194324,-122.3559715,1,,,,POINT (-122.3559715 47.6194324)
9498201100,47.6194333,-122.3560985,3,,,,POINT (-122.3560985 47.6194333)
9498201101,47.6216118,-122.3585598,1,,,,POINT (-122.3585598 47.6216118)
9498201102,47.6216118,-122.3586979,3,,,,POINT (-122.3586979 47.6216118)
9498209439,47.6147912,-122.3439476,3,,,,POINT (-122.3439476 47.6147912)
9498209441,47.6149974,-122.3440885,1,,,,POINT (-122.3440885 47.6149974)
9498209442,47.6155889,-122.3472771,3,,,,POINT (-122.3472771 47.6155889)
9498209444,47.6159184,-122.346867,1,,,,POINT (-122.346867 47.6159184)
9498209445,47.6154842,-122.3470997,3,,,,POINT (-122.3470997 47.6154842)
9498209447,47.6158084,-122.3466799,1,,,,POINT (-122.3466799 47.6158084)
9498209448,47.6170663,-122.3480849,1,,,,POINT (-122.3480849 47.6170663)
9498209450,47.6168241,-122.3476646,1,,,,POINT (-122.3476646 47.6168241)
9504091793,47.6060724,-122.3306004,1,,,,POINT (-122.3306004 47.6060724)
9504091794,47.6067817,-122.3312541,1,,,,POINT (-122.3312541 47.6067817)
9504184720,47.6137742,-122.3347533,1,,,,POINT (-122.3347533 47.6137742)
9504184723,47.6135184,-122.3345257,1,,,,POINT (-122.3345257 47.6135184)
9531694023,47.6113938,-122.3419958,1,,,,POINT (-122.3419958 47.6113938)
9531694024,47.6115398,-122.341799,1,,,,POINT (-122.341799 47.6115398)
9531694025,47.6114768,-122.3418879,3,,,,POINT (-122.3418879 47.6114768)
9531694027,47.6115459,-122.3420127,1,,,,POINT (-122.3420127 47.6115459)
9531694028,47.617157,-122.3364028,1,,,,POINT (-122.3364028 47.617157)
9531694029,47.6172746,-122.3362511,3,,,,POINT (-122.3362511 47.6172746)
9531694030,47.6171659,-122.3360686,3,,,,POINT (-122.3360686 47.6171659)
9531694032,47.6168512,-122.3364722,1,,,,POINT (-122.3364722 47.6168512)
