,OBJECTID,SUBTYPECD,HEIGHT,ASSET_ID,HasStreetlight,Field,geometry
49084,49085,1,0,1319313,Yes,,POINT (-122.326122178063 47.6016398321118)
49217,49218,1,0,1319317,Yes,,POINT (-122.324293341208 47.6016319707668)
49219,49220,1,0,1313258,Yes,,POINT (-122.332754231087 47.5999145788538)
49220,49221,1,0,1313177,Yes,,POINT (-122.331297491052 47.5991312423845)
49221,49222,1,0,2495309,Yes,,POINT (-122.330906014882 47.6012052666272)
49223,49224,1,0,1319017,Yes,,POINT (-122.327758545452 47.600616831638)
49224,49225,1,0,1316114,Yes,,POINT (-122.329357995103 47.5991237727197)
49225,49226,1,0,1316118,Yes,,POINT (-122.329161995213 47.5990899263667)
49226,49227,1,0,1317716,Yes,,POINT (-122.322867701484 47.5975826102971)
49227,49228,1,0,2495289,Yes,,POINT (-122.323350149151 47.5982650481085)
49228,49229,1,0,1313130,Yes,,POINT (-122.327767939083 47.597166642186)
49229,49230,1,0,1316292,Yes,,POINT (-122.324946870942 47.5980444632701)
49230,49231,1,0,1316293,Yes,,POINT (-122.324945513611 47.5979179249004)
49231,49232,1,0,1313445,Yes,,POINT (-122.325820428671 47.5975928564113)
49232,49233,1,0,2495298,Yes,,POINT (-122.330894258532 47.601606199581)
49233,49234,1,0,2495296,Yes,,POINT (-122.330891895346 47.6014083211791)
49234,49235,1,0,1313458,Yes,,POINT (-122.333140968447 47.603148106771)
49235,49236,1,0,1313457,Yes,,POINT (-122.33335422647 47.6030537192363)
49236,49237,1,0,1313169,Yes,,POINT (-122.332826647887 47.6022456945779)
49237,49238,1,0,1313459,Yes,,POINT (-122.332944856999 47.6029508690095)
49238,49239,1,0,1313460,Yes,,POINT (-122.332915298112 47.6030670228811)
49239,49240,1,0,1313168,Yes,,POINT (-122.332305607539 47.6023276912175)
49240,49241,1,0,1313167,Yes,,POINT (-122.332324536906 47.6022727190932)
49241,49242,1,0,1313292,Yes,,POINT (-122.329941020668 47.6023956776519)
49303,49304,1,55,1308234,Yes,,POINT (-122.320874512729 47.6095972909639)
49307,49308,1,16,1311474,Yes,,POINT (-122.321140440907 47.6061498769207)
49308,49309,1,55,1308329,Yes,,POINT (-122.320634690528 47.60864041704)
49309,49310,1,33,1365005,Yes,,POINT (-122.323657529218 47.6058844000839)
49532,49533,1,0,1371505,Yes,,POINT (-122.33361914136 47.5991370943056)
49533,49534,1,0,1371917,Yes,,POINT (-122.334323595616 47.5990787604834)
49534,49535,1,0,1371848,Yes,,POINT (-122.335303158158 47.5992683930204)
49535,49536,1,0,1371642,Yes,,POINT (-122.334328549021 47.5985946816728)
49536,49537,1,0,1371920,Yes,,POINT (-122.336051007135 47.5990778480658)
49537,49538,1,0,1371649,Yes,,POINT (-122.335762022151 47.5991311850448)
49538,49539,1,0,1371915,Yes,,POINT (-122.335807534707 47.5990955844747)
49539,49540,1,0,2495068,Yes,,POINT (-122.333500134923 47.6014652271985)
49540,49541,1,0,1371726,Yes,,POINT (-122.335768137378 47.5992597420718)
49542,49543,1,0,1371619,Yes,,POINT (-122.336351134109 47.6013034507142)
49543,49544,1,0,1371618,Yes,,POINT (-122.336234558812 47.6011165965304)
49544,49545,1,0,1371620,Yes,,POINT (-122.336528441134 47.6015246233665)
49545,49546,1,0,2495099,Yes,,POINT (-122.335555572808 47.600447322367)
49548,49549,1,0,1352445,Yes,,POINT (-122.340711812573 47.6094164926721)
